"%d Review(s)","%d Opinion(es)"
"%s Review(s)","%s Opinion(es)"
"(Posted on %s)","(Realizado el %s)"
"1 star","1 estrella"
"2 stars","2 estrellas"
"3 stars","3 estrellas"
"4 stars","4 estrellas"
"5 stars","5 estrellas"
"Update status","Actualizar el estado"
"Administrator","Administrador"
"Add Your Review","Agregar su opinión"
"Add New Review","Agregar una nueva opinión"
"Nickname","Apodo"
"How do you rate this product?","¿Cómo califica a este producto?"
"Are you sure you want to do this?","¿Seguro que quiere hacer esto?"
"Delete","Borrar"
"Delete Review","Borrar la opinión"
"Product Rating","Calificación del producto"
"Product Rating:","Calificación del producto:"
"Detailed Rating","Calificación detallada"
"Summary Rating","Calificación sumaria"
"Rating:","Calificación:"
"Qty","Cantidad"
"Product SKU","Código del producto"
"Customer","Cliente"
"SKU","CODIGO"
"Pending reviews","Comentarios pendientes"
"Pending reviews of customer `%s`","Comentarios pendientes del cliente '%s'"
"Reviews and Ratings","Comentarios y puntuaciones"
"Created On","Creado el"
"Review Details","Detalles de la opinión"
"Edit Review '%s'","Editar la opinión '%s'"
"Submit Review","Enviar opinión"
"Write Your Own Review","Escriba su propia opinión"
"Status","Estado"
"Are you sure?","Está seguro?"
"Manage Ratings","Gestionar comentarios"
"Save Review","Guardar la opinión"
"ID","ID"
"Unable to post review. Please, try again later.","Imposible enviar la opinión. Por favor, inténtelo más tarde"
"Guest","Invitado"
"My Product Reviews","Mis opiniones de productos"
"My Recent Reviews","Mis opiniones recientes"
"Name","Nombre"
"Product Name","Nombre del producto"
"Name In Store","Nombre en la tienda"
"New Review","Nueva opinión"
"Review by %s","Opinó %s"
"Review","Opinión"
"Product Review (submitted on %s):","Opinión del producto (enviada el %s):"
"Customer Reviews","Opiniones del cliente"
"Product Reviews","Opiniones del producto"
"Pending Reviews","Opiniones pendientes"
"Allow guests to write reviews","Permitir a los invitados escribir comentarios"
"Please select a product","Por favor, seleccione un producto"
"Please select one of each of the ratings above","Por favor, seleccione una de las calficaciones de arriba"
"Price","Precio"
"Product","Producto"
"Average Customer Rating","Promedio de la calificación de los clientes"
"Average Customer Rating:","Promedio de la calificación de los clientes:"
"Posted By","Realizado por"
"Summary of Review","Resumen de la opinión"
"Summary of review","Resumen de la opinión"
"Summary of Your Review","Resumen de su opinión"
"Be the first to review this product","Sea el primero en opinar sobre este producto"
"Your Rating:","Su calificación:"
"Your Review (submitted on %s):","Su opinión (realizada el %s):"
"Your review has been accepted for moderation","Su opinión ha sido aceptada y transferida para su moderación"
"Title","Título"
"Type","Tipo"
"All Reviews","Todas las opiniones"
"All reviews of customer `%s`","Todos los comentarios de los clientes '%s'"
"You're reviewing: %s","Usted está opinando sobre: %s"
"You have submitted no reviews.","Usted no ha enviado opiniones."
"View Details","Ver los detalles"
"View All Reviews","Ver todas las opiniones"
"Visible In","Visible en"
"Back to Main Product Info","Volver a la información del producto principal"
"Back to Product Reviews","Volver a las Opiniones del producto"
"Back to My Reviews","Volver a Mis opiniones"
"Back","Volver atrás"
"Websites","Websites"
