"% from all referrals purchases","% van aankopen van alle verwezen personen"
"% from the order total","% van het besteltotaal"
"%s has been already referred.","% is reeds verwezen."
"Action","Handeling"
"Action Amount","Bedrag handeling"
"Action Type","Type handeling"
"Add Rule","Regel toevoegen"
"Allow broadcast link","Uitzendlink toestaan"
"Allow invite","Uitnodiging toestaan"
"Apply % from all referrals purchases","% toepassen van alle referentieaankopen"
"Apply fixed % discount","Vaste korting van % toepassen"
"Apply flat rate fixed discount","Vaste korting toepassen"
"Are you sure?","Weet u het zeker?"
"Can not send invitation","Kan uitnodiging niet versturen"
"Cancel","Annuleren"
"Customer email","E-mail klant"
"Customer full name","Volledige naam klant"
"Delete Rule","Regel verwijderen"
"Discount applicable only if","Korting alleen van toepassing indien"
"Discount usage limit","Gebruikslimiet korting"
"Discounts earned","Verdiende kortingen"
"Discounts used","Gebruikte kortingen"
"Edit","Bewerken"
"Edit Rule","Regel bewerken"
"Eligible for discount","In aanmerking komend voor korting"
"Email address is invalid","E-mailadres is ongeldig"
"Email template is not specified by administrator","E-mailtemplate wordt niet gespecificeerd door beheerder"
"For all referred customers","Voor alle verwezen klanten"
"Hi, I thought it might interest you.","Hoi, ik dacht dat dit je zou interesseren."
"How many referral's orders used to earn a discount","Hoeveel bestellingen van verwezen persoon gebruikt voor verdienen van een korting"
"How many times the discount can be earned by a referrer","Hoe vaak de korting verdiend kan worden door een verwijzende persoon"
"How many times the discount can be used by a referrer","Hoe vaak de korting gebruikt kan worden door een verwijzende persoon"
"ID","ID"
"Invitation","Uitnodiging"
"Manage Rules","Regels beheren"
"Message can't be empty","Bericht kan niet leeg zijn"
"Message to a friend was sent.","Bericht naar een vriend werd verstuurd."
"Min discount","Min korting"
"Min discount amount","Min kortingbedrag"
"Min order total","Min besteltotaal"
"Order total is greater than","Besteltotaal is groter dan"
"Per customer","Per klant"
"Please log in.","Graag aanmelden."
"Please select rule(s)","Regel(s) selecteren"
"Priority","Prioriteit"
"Processing priority","Bezig met verwerken prioriteit"
"Purchase amount","Aankoopbedrag"
"Purchased items quantity","Hoeveelheid gekochte artikelen"
"Refer a Friend","Een vriend verwijzen"
"Refer a Friend invitation","Uitnodiging voor verwijzen van een vriend"
"Referral for %s","Verwezen persoon voor %s"
"Referral orders limit","Limiet bestellingen verwezen persoon"
"Referrals Total","Totaal verwezen personen"
"Referrals purchase quantity","Aankoophoeveelheid verwezen persoon"
"Referrals sent","Verwezen personen verstuurd"
"Referrals signed up","Verwezen personen geregistreerd"
"Referred Friends","Verwezen vrienden"
"Referrer email","E-mail verwijzende persoon"
"Referrer full name","Volledige naam verwijzende persoon"
"Rule Configuration","Configuratie regel"
"Rule Settings","Instellingen regel"
"Rule applies","Regel is van toepassing"
"Rule does not exist","Regel bestaat niet"
"Save And Continue Edit","Opslaan en doorgaan met bewerken"
"Save Rule","Regel opslaan"
"Select email template","E-mailtemplate selecteren"
"Share the link with your friends:","De link delen met uw vrienden:"
"Should we take all orders from all referrals, or orders for each referral separately, to check against the target","Dienen wij alle bestellingen van alle verwezen personen aan te nemen of de bestellingen voor elke verwezen persoon afzonderlijk, om te controleren ten opzichte van het doel"
"Signups quantity","Hoeveelheid registraties"
"Some emails were not sent.","Sommige e-mails werden niet verstuurd."
"Some problems with data.","Enkele problemen met gegevens."
"Statistics","Statistiek"
"Subject can't be empty","Onderwerp kan niet leeg zijn"
"Submit","Indienen"
"Target","Doel"
"Target Amount","Doelbedrag"
"Target Type","Doeltype"
"The discount can be earned","De korting kan verdiend worden"
"The discount cannot be earned","De korting kan niet verdiend worden"
"The earned discount can be used","De verdiende korting kan gebruikt worden"
"The rule checks this condition by summarizing purchases of","De regel controleert deze voorwaarde door het samenvatten van aankopen van"
"This customer is already registered.","Deze klant staat reeds geregistreerd."
"This rule gives","Deze regel geeft"
"Total of %d rule(s) were successfully deleted","Totaal van %d regel(s) werd succesvol verwijderd"
"Total of all referral's orders","Totaal van alle bestellingen verwezen persoon"
"Total of only","Totaal van slechts"
"Total/Eligible for discount:","Totaal/in aanmerking komend voor korting:"
"Triggers","Triggers"
"Triggers limit","Limiet triggers"
"Unable to find rule to save","Kan regel om op te slaan niet vinden"
"Usage limit","Gebruikslimiet"
"You cannot invite yourself.","U kunt uzelf niet uitnodigen."
"You qualify for a discount! The discount of <b>%s</b> will be applied to your next purchase","U komt in aanmerking voor een korting! De korting van %s zal toegepast worden op uw volgende aankoop"
"Your %s discount for referred friends","Uw korting van %s voor verwezen vrienden"
"and","en"
"and can be applied together with a coupon","en kan toegepast worden samen met een coupon"
"and cannot be applied together with a coupon","en kan niet toegepast worden samen met een coupon"
"by a referrer accumulating discount","door een groeiende korting van verwijzende persoon"
"first referral's order(s)","eerste bestelling(en) verwezen persoon"
"is used to earn a discount.","wordt gebruikt voor verdienen van een korting."
"items purchased by referral","door verwezen persoon gekochte artikelen"
"percent","procent"
"referral sign ups","registraties verwezen personen"
"sum","optellen"
"the discount amount is greater than","het kortingsbedrag is groter dan"
"the order total is greater than","het besteltotaal is groter dan"
"time(s)","keer"
"times","keer"
"total referral purchases","totale aankopen verwezen persoon"
"unlimited number of times","onbeperkt aantal keer"
