"Action","Actie"
"All types","Alle types"
"An error occurred while writing to the backup file %s"".","Er is een fout opgetreden bij het wegschrijven van bestand %s""."
"An error occurred while writing to the backup file %s.","Er is een fout opgetreden tijdens het schrijven van de backup %s."
"Backup file %s cannot be read from or written to.","Backup bestand %s kan niet worden gelezen of overgeschreven worden. "
"Backup file %s does not exist.","Backup bestand %s bestaat niet."
"Backup file %s"" can't read or write","Backup-bestand %s"" kan niet gelezen of beschreven worden."
"Backup file %s"" cannot be read from or written to.","Backup-bestand %s"" kan niet gelezen of beschreven worden."
"Backup file %s"" does not exist.","Backup-bestand %s"" bestaat niet"
"Backup file %s"" doesn't exist","Backup-bestand %s"" bestaat niet"
"Backup file does not exist.","Backup bestand bestaat niet."
"Backup file doesn't exist","Backup-bestand bestaat niet"
"Backup file handler don't specify","Handler van backup-bestand niet gespecificeerd"
"Backup file handler was unspecified.","Backup bestandshandler is niet gedefinieerd"
"Backup file path don't specify","Backup bestandspad is niet opgegeven."
"Backup file path was not specified.","Backup bestandspad is niet gedefinieerd."
"Backups","Backups"
"Cannot read backup file","Kan backup-bestand niet lezen"
"Cannot read backup file.","Het Back-up bestand kan niet worden gelezen."
"Create Backup","Backup maken"
"DB","DB"
"Database was successfuly backed up.","Databasebackup is met succes gemaakt"
"Download","Download"
"Error write to Backup file %s","Fout tijdens het schrijven naar backup-bestand %s"
"File compressed with Zlib, but this extension is not installed on server","Bestand gecomprimeerd met Zlib, maar deze extensie is niet geïnstalleerd op de server"
"Size, Bytes","Maat, Bytes"
"Size, byte","Grootte, byte"
"The file was compressed with Zlib, but this extension is not installed on server.","Het bestand is samengebracht met Zlib, maar deze extensie is niet geinstalleerd op de server."
"Time","Tijd"
"Type","Type"
"Unable to create backup. Please, try again later.","Kon geen backup maken. Probeer later opnieuw a.u.b."
"Wrong order of creation for new backup","Onjuiste aanmaak volgorde voor nieuwe backup"
"Wrong order of creation for new backup.","Onjuiste volgorde voor een nieuwe backup."
