"To Date","A la fecha"
"Actions","Acciones"
"Active","Activo"
"Update product's %s %s: %s","Actualizar productos %s %s: %s"
"Add New Rule","Agregar una nueva regla"
"Apply Rules","Aplicar reglas"
"Product Attribute","Atributo del producto"
"Delete Rule","Borrar la regla"
"Expire at: %s","Caduca el: %s"
"Catalog","Catálogo"
"Category","Categoría"
"Customer registered: %s","Cliente registrado: %s"
"Conditions Combination","Combinación de condiciones"
"Start at: %s","Comienza el: %s"
"Conditions","Condiciones"
"Conditions (leave blank for all products)","Condiciones (deje en blanco para todos los productos)"
"Attribute Set","Conjunto de atributos"
"Description","Descripción"
"Description: %s","Descripción: %s"
"Date From","Desde fecha"
"Stop further rules processing","Detener el procesamiento de otras reglas"
"Edit Rule","Editar la regla"
"Edit Rule '%s'","Editar la regla '%s'"
"Customer is new buyer: %s","El cliente es un nuevo comprador: %s"
"Shipments","Envíos"
"Order Shipments","Envíos de Pedidos"
"This rule no longer exists","Esta regla ya no existe"
"Status","Estado"
"Invoices","Facturas"
"Order Invoices","Facturas de Pedidos"
"Date Expire","Fecha de caducidad"
"Date Start","Fecha de inicio"
"From Date","Fecha desde"
"Customer Groups","Grupos de clientes"
"Save Rule","Guardar la regla"
"Save and Apply","Guardar y aplicar"
"Date To","Hasta fecha"
"There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog.","Hay normas que se han cambiado pero no se aplican. Por favor, haga Aplicar reglas a fin de ver en el catálogo de efecto inmediato"
"Comments History","Historial de comentarios"
"Order History","Historial de Pedidos"
"ID","ID"
"Inactive","Inactivo"
"Rule Information","Información de la regla"
"General Information","Información general"
"The page you are trying to save no longer exists","La página que está intentando grabar ya no existe"
"Rule was successfully deleted","La regla fue borrada con éxito"
"Rule was successfully saved","La regla fue grabada con éxito"
"Rules were successfully applied","Las reglas fueron aplicadas con éxito"
"Order Gift Messages","Mensajes de regalo de pedidos"
"Gift Messages","Mensajes para regalo"
"No","No"
"NOT LOGGED IN","NO HA INICIADO SESION"
"Unable to find a page to delete","No se puede encontrar una página para borrar"
"Unable to apply rules","No se pueden aplicar las reglas"
"Rule Name","Nombre de la regla"
"Name: %s","Nombre: %s"
"Credit Memos","Notas de crédito"
"Order Credit Memos","Notas de Crédito de pedidos"
"New Rule","Nueva regla"
"Options","Opciones"
"Priority","Prioridad"
"Promotions","Promociones"
"Catalog Price Rule","Regla de precio para el catálogo"
"Catalog Price Rules","Reglas de precios del catálogo"
"Yes","Sí"
"Websites","Sitios web"
