" Copy"," Kopiëer"
"Copy"," Kopiëer"
"Action","Actie"
"Add New Template","Nieuwe sjabloon"
"Add to Queue","Toevoegen aan wachtrij"
"Allow Guest Subscription","Toestaan van inschrijvingen nieuwsbrief abonnement door anonieme site bezoekers"
"An error occurred while saving your subscription.","Er was een fout tijdens het opslaan van de inschrijving."
"Are you sure that you want to delete this template?","Definitief deze sjabloon verwijderen?"
"Are you sure that you want to strip all tags?","Definitief alle etiketten losmaken?"
"Back","Terug"
"Cancel","Annuleer"
"Cancelled","Geannuleerd"
"Cannot mark as received subscriber.","Kan niet als ontvangen abonnee gemarkeerd worden."
"Confirmation Email Sender","Bevestigingsbericht e-mail afzender"
"Confirmation Email Template","Bevestigingsbericht e-mail sjabloon"
"Confirmation request has been sent.","Verzoek tot bevestiging is verzonden."
"Convert to Plain Text","Zet naar platte tekst om"
"Create Newsletter Template","Maak sjabloon nieuwsbrief" 
"Customer","Klant"
"Customer First Name","Voornaam klant"
"Customer Last Name","Achternaam klant"
"Customer My Account Newsletter Subscriptions","Klant > Mijn account > Nieuwsbrief inschrijvingen"
"Date Added","Datum toegevoegd"
"Date Updated","Datum laatst bijgewerkt"
"Delete","Verwijder"
"Delete Selected Problems","Verwijder geselecteerde problemen"
"Delete Template","Verwijder sjabloon"
"Do you really want to cancel the queue?","Deze wachtrrij daadwerkelijk annuleren?"
"Duplicate template code.","Dupliceer sjabloon code."
"Edit Newsletter","Bewerk nieuwsbrief"
"Edit Newsletter Template","Bewerk sjabloon nieuwsbrief"
"Edit Queue","Bewerk wachtrij"
"Edit Template","Bewerken sjabloon"
"Email","E-mail"
"Enter your email address","Voer het e-mailadres in"
"Error Code","Foutcode"
"Error Text","Foutmelding"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Klik op deze link voor het afmelden van <a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","Gast (anoniem)"
"ID","Id"
"Invalid queue selected.","Ongeldige wachtrij geselecteerd."
"Invalid subscription ID.","Ongeldige abonnement ID."
"Invalid subscription confirmation code.","Ongeldige abonnement bevestigingscode."
"Message","Bericht"
"Need to Confirm","Te bevestigen"
"New Newsletter Template","Nieuwe sjabloon nieuwsbrief"
"New Template","Nieuw sjabloon"
"Newsletter","Nieuwsbrief"
"Newsletter Message Preview","Nieuwsbrief bericht afdrukvoorbeeld"
"Newsletter Problem Reports","Nieuwsbrief problemen rapportages"
"Newsletter Queue","Nieuwsbrief wachtrij"
"Newsletter Section","Nieuwsbrief sectie"
"Newsletter Sign-up:","Nieuwsbrief inschrijven:"
"Newsletter Styles","Nieuwsbrief stijlen"
"Newsletter Subscribers","Nieuwsbrief abonnees"
"Newsletter Subscription","Nieuwsbrief abonnement"
"Newsletter Subscription Form Before","Nieuwsbrief inschrijfformulier vooraf"
"Newsletter Subscriptions","Nieuwsbrief abonnees"
"Newsletter Templates","Nieuwsbrief sjablonen"
"Newsletter subscription confirmation","Nieuwsbrief abonnement bevestiging"
"Newsletter subscription success","Nieuwsbrief abonneren succesvol"
"Newsletter unsubscription success","Nieuwsbrief afmelden geslaagd"
"No Templates Found","Geen sjablonen gevonden"
"No problems found.","Geen problemen gevonden."
"No subscribers selected.","Geen abonnees geselecteerd."
"Not Activated","Niet geactiveerd"
"Not Sent","Niet verzonden"
"Pause","Pauzeren"
"Paused","Gepauzeerd"
"Please enter a valid email address.","Vul een geldig e-mailadres in."
"Please enter new template name","Voer nieuwe naam sjabloon in"
"Please refer to exeption.log","Verwijs naar de logbestanden voor fouten"
"Please select subscriber(s)","Selecteer abonnee(s)"
"Preview","Voorbeeld"
"Preview Template","Afdrukvoorbeeld sjabloon"
"Processed","Verwerkt"
"Queue Date Start","Wachtrij aanvangsdatum"
"Queue Finish","Wachtrij einde"
"Queue Information","Wachtrij informatie"
"Queue Newsletter...","Wachtrij nieuwsbrief"
"Queue Start","Wachtrij aanvang"
"Queue Subject","Wachtrij onderwerp"
"Recipients","Ontvangers"
"Reset","Herstellen"
"Resume","Doorgaan"
"Return HTML Version","Terughalen HTML versie"
"Save As","Opslaan als"
"Save Newsletter","Opslaan nieuwsbrief"
"Save Template","Opslaan sjabloon"
"Save and Resume","Opslaan en hervatten"
"Selected problem subscribers have been unsubscribed.","Geselecteerde problematische abonnees zijn uitgeschreven."
"Selected problems have been deleted.","De geselecteerde foutmeldingen zijn verwijderd"
"Sender","Afzender"
"Sender Email","Afzender e-mail"
"Sender Name","Afzender naam"
"Sending","Bezig met verzenden"
"Sent","Verzonden"
"Sign Up for Our Newsletter:","Inschrijven op onze nieuwsbrief"
"Sign up for our newsletter","Inschrijven op onze nieuwsbrief"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Helaas, inschrijving is uitsluitend voorbehouden aan geregistreerde klanten. <a href=""%s"">Registreer</a> eerst voor een account om daarna op de nieuwsbrief in te schrijven."
"Start","Aanvang"
"Status","Toestand"
"Store","Winkel"
"Store View","Winkelzicht"
"Subject","Onderwerp"
"Submit","Verzenden"
"Subscribe","Inschrijven"
"Subscribed","Geabonneerd"
"Subscriber","Abonnee"
"Subscribers","Abonnees"
"Subscribers From","Abonnees van"
"Subscription Options","Abonnement keuzemogelijkheden"
"Success Email Sender","Afzender e-mailbericht bij succesvol inschrijven"
"Success Email Template","Sjabloon e-mailbericht bij succesvol inschrijven"
"Template Content","Sjabloon inhoud"
"Template Information","Sjabloon informatie"
"Template Name","Sjabloon naam"
"Template Styles","Sjabloon stijlen"
"Template Subject","Sjabloon onderwerp"
"Template Type","Sjabloon soort"
"Thank you for your subscription.","Hartelijk dank voor de inschrijving."
"The subscription has been removed.","De inschrijving is verwijderd."
"The subscription has been saved.","De inschrijving is opgeslagen."
"There was a problem with the subscription.","Er was een probleem met de inschrijving."
"There was a problem with the subscription: %s","Er was een probleem met de inschrijving: %s"
"There was a problem with the un-subscription.","Er was een probleem met het uitschrijven. Probeer het opnieuw of neem contact met ons op mocht afmelding niet mogelijk blijken."
"This email address is already assigned to another user.","Dit e-mailadres is al toegewezen aan een gebruiker."
"Type","Soort"
"Unconfirmed","Onbevestigd"
"Unsubscribe","Uitschrijven"
"Unsubscribe Selected","Uitschrijven geselecteerd"
"Unsubscribed","Uitgeschreven"
"Unsubscription Email Sender","Afzender e-mailbericht bij uitschrijving"
"Unsubscription Email Template","Sjabloon e-mailbericht bij uitschrijving"
"View Newsletter","Bekijk nieuwsbrief"
"Website","Website"
"You have been unsubscribed.","Uitschrijving geslaagd."
"Your subscription has been confirmed.","Inschrijving bevestigd."
