"3D Secure CAVV","3D Secure CAVV"
"3D Secure Card Validation","3D Secure Kaartvalidatie"
"3D Secure Cardholder Validation","3D Secure Kaarthoudervalidatie"
"3D Secure Electronic Commerce Indicator","3D Secure Elektronische Commercie Indicator"
"3D Secure Verification Result","3D Secure Verificatieresultaten"
"3D Secure XID","3D Secure XID"
"Card Issuer Liability","Aansprakelijkheid van kaartuitgever"
"Card Verification","Kaartverificatie"
"Enrolled","Ingeschreven"
"Enrolled but Authentication Unavailable","Ingeschreven echter authenticatie is niet beschikbaar"
"Failed","Faalde"
"MasterCard SecureCode","MasterCard SecureCode"
"Merchant Liability","Verkoperaansprakelijkheid"
"Not Enrolled","Niet ingeschreven"
"Order cannot be placed.","Order kan niet geplaatst worden"
"Payment information error. Please start over.","Betalingsinformatiefout. Gelieve opnieuw te beginnen."
"Please continue with placing order.","Ga verder met het plaatsen van de order."
"Please verify the card with the issuer bank before placing the order.","Verifieer de kaart bij de uitgevende bank alvorens de order te plaatsen."
"Please verify the card with the issuer bank:","Verifieer de kaart bij de uitgevende bank:"
"Start/Reset Validation...","Start/herstel validatie..."
"Successful","Succesvol"
"Successful attempt","Succesvolle poging"
"The card has failed verification with the issuer bank.","De kaart kon niet geverifieerd worden bij de uitgevende bank."
"There has been wrong payment information submitted or the time limit has expired. Please, try again.","Onjuiste betalingsgegevens ingevoerd of de tijdslimiet is verstreken. Probeer het nog eens."
"There has been wrong payment information submitted or time limit has expired. Please, try again.","Onjuiste betalingsgegevens ingevoerd of de tijdslimiet is verstreken. Probeer het nog eens."
"This card has failed validation and cannot be used.","Deze kaart is niet goed uit de beveiligingscontrole gekomen en kan niet worden gebruikt."
"To ensure the security of your transactions","Om de veiligheid van de transacties te garanderen"
"Unable to complete","Niet in staat te voltooien"
"Validation failed.","Validatie gefaald."
"Verification Failed","Verificatie gefaald"
"Verification Successful","Succesvol geverifieerd"
"Verification cannot be processed","Verificatie kan niet verwerkt worden"
"Verified by Visa","Geverifieerd door Visa"
