"Billing Information","Factuuradres"
"Change Payment Method","Wijzigen"
"Change Shipping Address","Wijzigen"
"Edit Shopping Cart","Winkelwagen bewerken"
"Email","E-mail"
"Express Checkout and Order have been canceled.","Express Checkout en de bestelling zijn geannuleerd."
"Express Checkout has been canceled.","Express Checkout is geannuleerd"
"Fetch","Ophalen"
"Incl. Tax","Incl. BTW"
"Items in Your Shopping Cart","Artikelen in uw winkelwagen"
"No shipping method required.","Geen verzendmethode nodig"
"PayPal Account","PayPal Account"
"PayPal Email","PayPal e-mail"
"PayPal Express Checkout (Payflow Edition) Shortcut Wrapper","PayPal Express Checkout (Payflow Edition) Shortcut Wrapper"
"PayPal Express Checkout Token does not exist.","PayPal Express Checkout Token does not exist."
"PayPal Express Order Review Form","PayPal Express Order Review Form"
"PayPal Settlement Reports","PayPal Settlement Reports"
"Payment Method","Betaalmethode"
"Pending PayPal","In afwachting PayPal"
"Place an Order","Plaats een bestelling"
"Please select a shipping method...","Selecteer een verzendmethode"
"Price","Prijs"
"Product Name","Productnaam"
"Qty","Aantal"
"Reports","Rapporten"
"Review Order","Bestelling bekijken"
"Sales","Verkopen"
"Shipping Address","Afleveradres"
"Shipping Information","Afleveradres"
"Shipping Method","Verzendmethode"
"Solo","Enige"
"Sorry, no quotes are available for this order at this time.","Sorry, er zijn momenteel geen offertes beschikbaar voor deze bestelling"
"Submitting order information...","Bezig met verzenden van bestelgegevens"
"Subtotal","Subtotaal"
"Switch/Maestro","Switch/Maestro"
"Unable to cancel Express Checkout.","Niet mogelijk om Express Checkout te annuleren"
"Unable to initialize Express Checkout review.","Niet mogelijk om Express Checkout review te initialiseren."
"Unable to place the order.","Niet mogelijk om bestelling te plaatsen."
"Unable to process Express Checkout approval.","Niet mogelijk om Express Checkout te accorderen."
"Unable to start Express Checkout.","Niet mogelijk om Express Checkout te starten."
"Unable to update shipping method.","Niet mogelijk om verzendmethode bij te werken"
"Update Shipping Method","Verzendmethode bijwerken"
"View","Bekijk"
"View Transaction","Bekijk transactie"
"Wrong PayPal Express Checkout Token specified.","Verkeerd PayPal Express Checkout token gespecificeerd."
"You will be redirected to PayPal website when you place an order.","U wordt doorgestuurd naar de PayPal website nadat u een bestelling plaatst."
"You will be redirected to Paypal in a few seconds.","Over een paar seconden wordt u doorgestuurd naar PayPal."
"You will be redirected to the PayPal website in a few seconds.","U wordt binnen enkele seconden doorverwezen naar de PayPal website."
"Your billing address will be ignored and you will be redirected to PayPal website","Uw factuuradres zal worden genegeerd en u wordt doorverwezen naar de PayPal website"
