"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Attention</strong> : le captcha est sensible à la casse."
"After number of attempts to login","Après un nombre de tentatives de connexion"
"Always","Toujours"
"CAPTCHA","CAPTCHA"
"CAPTCHA Timeout (minutes)","Délai d'attente du CAPTCHA (minutes)"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen","Le CAPTCHA pour les formulaires de création d'utilisateur et d'oubli de mot de passe est toujours activé si ce choix est fait"
"Case Sensitive","Sensible à la casse"
"Displaying Mode","Mode d'affichage"
"Enable CAPTCHA in Admin","Activer le CAPTCHA dans l'admin"
"Enable CAPTCHA on Frontend","Activer le CAPTCHA dans le frontend"
"Font","Police"
"Forms","Formulaires"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Si 0 est choisi, le CAPTCHA sera toujours disponible dans le formulaire de connexion."
"Incorrect CAPTCHA.","CAPTCHA incorrect."
"Number of Symbols","Nombre de symboles"
"Number of Unsuccessful Attempts to Login","Nombre d'essais infructueux"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Spécifiez au maximum 8 symboles. Les tranches sont acceptées (par ex. 3-5)"
"Please type the letters below","Veuillez saisir les lettres ci-dessous"
"Please type the letters from the image:","Saisissez les lettres de l'image :"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Utilisez uniquement des lettres (a-z ou A-Z) et des chiffres (0-9). Aucun espace ou autre caractère n'est autorisé.<br/>Les caractères à l'apparence proche diminuent les chances de reconnaissance correcte par l'internaute."
"Reload captcha","Recharger le captcha"
"Symbols Used in CAPTCHA","Symboles utilisés dans le CAPTCHA"
