"AJAX Settings","AJAX Instellingen"
"Is Enabled","Is ingeschakeld"
"Bot Names","Bot namen"
"Any program which browses store pages (be it search engine bot or customer's browser) sends information about itself (so called user agent string). Field above is used to match any of semicolon separated values inside user agent string and to decide whether bot or real user is currently browsing.","Any program which browses store pages (be it search engine bot or customer's browser) sends information about itself (so called user agent string). Field above is used to match any of semicolon separated values inside user agent string and to decide whether bot or real user is currently browsing."
"No","Nee"
"Yes","Ja"
"Yes for Users, No for Search Bots (Listed Below)","Ja voor gebruiker, nee voor zoek-bots (Zie lijst hieronder)"
"Show 'Please Wait'","Toon 'Wacht a.u.b.'"
"Show network errors in frontend","Toon netwerkfouten op frontend"
"Recommended setting is 'Yes for Users, No for Search Bots' because search bots crawl non-AJAX pages better while users prefer AJAX page refreshes","Aanbevolen instelling is 'Ja voor gebruikers, nee voor zoek-bots' omdat zoekbots niet-AJAX pagina's beter crawlen terwijl gebruikers AJAX preferen voor verversen"
"Mark with CSS class","Markeer met CSS-class"
"Wrap into HTML element","Wrap in HTML-element"
"Content Processing Method","Content-verwerkings-methode"
"Recommended setting is 'Wrap into HTML element'. Other settings provided for backward compatibility.","Aanbevolen instelling is 'Wrap in HTML-element'. Overige instellingen bestaan voor backwards-compabiliteit."
"Scroll to Top After Pager Clicks","Scroll naar boven naar kliks op de pagination."
