"Billing Name","Factuurnaam"
"Shipping Name","Ontvangsnaam"
"Carrier and Method Name Configuration","Configureer naam en omschrijving verzendmethode"
"Customer Firstname","Voornaam"
"Customer Lastname","Achternaam"
"Content Description","Standaard omschrijving inhoud"
"CountryISOCodeNum","ISO nummer landcode herkomst"
"dpd_dpd","DPD Logistics"
"dpdcod_dpdcod","DPD Rembours"
"dpdexpress_dpdexpress","DPD Express"
"dhl_dhl","DHL"
"dhlforyou_dhlforyou","DHL4You"
"DutyValue","Waarde voor Douane"
"envelop_envelop","Brievenbuspost"
"Export Orders","Exporteer bestellingen"
"Export Shipments","Exporteer zendingen"
"Export Safedeal shipments","Exporteer SafeDeal zendingen"
"Export shipments that are already exported","Exporteer zendingen die al eens verwerkt zijn"
"Export to CSV","Exporteer zendingen"
"Export to PostNL","Exporteer PostNL zendingen"
"Export GLS shipments","Exporteer GLS zendingen"
"Export DPD shipments","Exporteer DPD zendingen"
"Export Generic shipments","Exporteer Generieke zendingen"
"Export Kiala shipments","Exporteer Kiala zendingen"
"Export type","Exportlayout"
"fedex_fedex","Fedex"
"flatrate_flatrate","Flat Rate"
"freeshipping_freeshipping","Gratis verzending"
"Free Shipping Configuration","Configureer gratis verzending"
"Free shipping with minimum order amount","Gratis verzending bij subtotaal"
"generic_generic","Generieke verzendmethode"
"gls_gls","GLS Logistics"
"glsexpress_glsexpress","GLS Express"
"glscod_glscod","GLS Rembours"
"googlecheckout_googlecheckout","Google Checkout"
"handtekeningvoorontvangst_handtekeningvoorontvangst","PostNL Handtekening voor Ontvangst"
"HandleNonDeliverable","Mag geretourneerd worden?"
"HSTariffNumber","Tariefnummer t.b.v. Douane"
"Hide shipments that are exported","Verberg geexporteerde zendingen"
"Maximum Order Value","Maximum subtotaal"
"Mindstretch Export Logistics","Export Logistiek"
"Mindstretch Order Export","Exporteer bestellingen"
"Mindstretch Shipment Export","Zendingen exporteren"
"Minimum Order Value","Minimum subtotaal"
"No","Nee"
"Order ID","Bestelnummer"
"Order Date","Besteldatum"
"Parcelware Web or Desktop","Parcelware Web of Desktop"
"Purchased From (Store)","Besteld vanuit winkel"
"Select the shipping methods that need to be hidden on export grid","Selecteer de verzendmethodes die niet geexporteerd hoeven te worden"
"Shipment ID","Zendingsnummer"
"Shipping Method Name","Verzendmethode"
"Shipping and Handling Costs Configuration","Configureer Verzendkosten en Handlingkosten"
"safedeal_safedeal","SafeDeal"
"Select CSV Layout Format","Selecteer CSV export layout"
"Set default page limit","Standaard aantal zendingen per pagina"
"Ship to applicable countries","Verzenden naar beschikbare landen"
"Ship to Specific countries","Verzenden naar specifieke landen"
"Sort order","Sorteervolgorde"
"Show Shipping Method based on Country, Weight or Subtotal","Toon verzendmethode op basis van Land, Gewicht of Subtotaal"
"Standard layout for Free Shipping","Standaard layout voor Free Shipping"
"Standard layout for Flat Rate","Standaard layout voor Flat Rate"
"Standard layout for Table Rate","Standaard layout voor Table Rate"
"Standard layout for Matrix","Standaard layout voor Matrix Rate"
"Standard layout for Matrix 2","Standaard layout voor Matrix Rate"
"rembours_rembours","PostNL Rembours"
"Processing","In behandeling"
"ups_ups","UPS"
"usps_usps","USPS"
"tablerate_tablerate","Table Rate"
"tnt_tnt","PostNL Pakketpost"
"Use renewed export layouts from March 2012","Gebruik de vernieuwde export layouts van maart 2012"
"verhoogdaansprakelijk_verhoogdaansprakelijk","PostNL Verhoogde Aansprakelijkheid"
"View","Bekijken"
"Weight From","Minimum gewicht"
"Weight To","Maximum gewicht"
"Yes","Ja"
"Show store in grid","Filter op Storeview in overzicht"
"Use ddmmyyyy in export name of file instead of export.csv","Gebruik datum in de bestandsnaam in plaats van export.csv als vaste naam"
"Cron Expression","Cronjob regel"
"Enable automatic export","Activeer automatische export"
"By default the cronjob will run every day at 15.00 hrs (including Saturday, Sunday)","Standaard zal de cronjob elke dag draaien om 15:00 uur. Ook op zaterdag en zondag."
"When activated, CSV file is saved in var/exportlogistics","Indien geactiveerd, zal het CSV bestand opgeslagen worden in var/exportlogistics"
"Enable export layout new style. This makes it easier to create the import definition","Hanteer de exportlayout nieuwe stijl. Dit maakt het makkelijker om de importdefinitie aan te maken."
