"Action","Actie"
"Active","Actief"
"Add New FAQ Category","Nieuwe FAQ categorie aanmaken"
"Add New FAQ Item","Nieuwe FAQ bijdrage aanmaken"
"All Store Views","Alle Store Views"
"Answers","Antwoorden"
"Back","Terug"
"Back to the FAQ overview", "Terug naar het FAQ overzicht"
"Category","Categorie"
"Category #","Categorienummer"
"Category Information","Categorie informatie"
"Category Name","Categorienaam"
"Content","Inhoud"
"Delete FAQ item","FAQ bijdrage verwijderen"
"Disabled","Uitgeschakeld"
"Display all FAQ items","Alle FAQ-bijdragen weergeven"
"Edit","Bewerken"
"Edit FAQ item '%s'","FAQ bijdrage '%s' bewerken"
"Enabled","Ingeschakeld"
"FAQ Item was successfully savend","De FAQ bijdrage is met succes opgeslagen"
"FAQ","FAQ"
"FAQ #","FAQ nr."
"FAQ item information","FAQ bijdrage nummer"
"FAQ item question","FAQ bijdrage vraag"
"FAQ overview","Overzicht veelgestelde vragen"
"Frequently Asked Questions","Veelgestelde vragen"
"General information","Algemene informatie"
"HTML answer","Antwoord (HTML)"
"Images","Afbeeldingen"
"Manage Categories","Categorieën beheren"
"Manage FAQ Categories","FAQ categorieën beheren"
"Manage FAQ Items","FAQ bijdragen beheren"
"Manage Items","Bijdragen beheren"
"New FAQ Category","Nieuwe FAQ categorie"
"New FAQ item","Nieuwe FAQ bijdrage"
"No","Nee"
"No records fond.","Geen bijdragen gevonden."
"of %s pages","van %d pagina's"
"Page","Pagina"
"Page status","Paginastatus"
"per page","Per pagina"
"Publication date","Publicatiedatum"
"Published on","Gepubliceerd op"
"Reset","Herstellen"
"Reset Filter","Herstel Filter"
"Save and continue edit","Opslaan en verder bewerken"
"Save FAQ Category","FAQ categorie opslaan"
"Save FAQ item","FAQ bijdrage opslaan"
"Search","Zoeken"
"Status","Status"
"Store view","Winkelzicht"
"There are no FAQ items at the moment.","Er zijn geen FAQ bijdragen op dit moment."
"Questions","Vragen"
"Total %d records fond","In totaal %s vragen gevonden"
"View","Weergeven"
"Yes","Ja"
