"Account Login","Account login"
"Account Password","Account wachtwoord"
"Account Type","Account type"
"Active","Actief"
"Add Attribute Mapping","Attribuut-toewijzing toevoegen"
"Add New Attribute","Nieuw attribuut toevoegen"
"Add to Google Base","Toevoegen aan Google Base"
"Are you sure?","Weet u het zeker?"
"Attribute","Attribuut"
"Attribute Set","Attributenset"
"Attribute Set and Item Type","Attributenset en artikeltype"
"Attributes","Attributen"
"Attributes Mapping","Attributen toewijzen"
"Attributes Set","Attributenset"
"AuthSub","AuthSub"
"Available Products","Beschikbare producten"
"British Pound Sterling","Britse Pond"
"Cannot update Google Base Item for Store '%s'","Kan Google Base Item voor winkel '%s' niet bijwerken"
"Captcha confirmation error: %s","Fout bij bevestiging captcha: %s"
"Captcha confirmed successfully","Captcha met succes bevestigd"
"Captcha has been confirmed.","Captcha has been confirmed."
"Catalog","Catalogus"
"Clicks","Clicks"
"ClientLogin","Klant-login"
"Confirm","Bevestigen"
"Current Mapping will be reloaded. Continue?","Huidige toewijzing wordt opnieuw geladen. Doorgaan?"
"Custom attribute, no mapping","Toegevoegd attribuut, geen toewijzing"
"Default Store (%s)","Standaardwinkel (%s)"
"Delete","Verwijder"
"Delete Mapping","Toewijzing verwijderen"
"Edit Item Type","Artikeltype bewerken"
"Edit Item Type ""%s""","Artikeltype ""%s"" bewerken"
"Edit Item Type %s","Artikeltype %s"" bewerken"""
"Error: %s","Fout: %s"
"Euro","Euro"
"Expires","Verloopt"
"Germany","Duitsland"
"Google","Google"
"Google Base","Google Base"
"Google Base Attribute","Google basis-attribuut"
"Google Base ID","Google basis-ID"
"Google Base Item Type","Google basis-artikeltype"
"Google Base Item type","Google Base Item type"
"Google Base Items","Google Base Items"
"Google base","Google base"
"Hide","Verbergen"
"Hosted","Hosted"
"Hosted or Google","Hosted of Google"
"Impr.","Impr."
"Invalid Product Model for Google Base Item","Ongelding productmodel voor Google basisartikel"
"Item Type was deleted","Artikeltype is verwijderd"
"Item Types","Artikeltypes"
"Item model is not specified to delete Google Base entry","Er is geen artikelmodel gespecificeerd om het Google Base-record te verwijderen"
"Item model is not specified to delete Google Base entry.","Item model is niet gespecificeerd om Google Base te verwijderen."
"Item type was successfully saved","Artikeltype is met succes opgeslagen"
"Items","Artikelen"
"Manage Attribute Mapping","Beheer attribuuttoewijzing"
"Manage Attributes","Beheer attributen"
"Manage Items","Beheer artikelen"
"New Item Type","Nieuw artikeltype"
"New ItemType","New ItemType"
"No","Nee"
"No items were deleted from Google Base","Er zijn geen artikelen verwijderd uit Google Base"
"No items were published","Er zijn geen artikelen gepubliceerd"
"No items were saved as inactive items","Er zijn geen artikelen op geslagen als inactief"
"No products were added to Google Base","Er zijn geen producten toegevoegd aan Google Base"
"Object model is not specified to save Google Base entry","Item model is niet gespecificeerd om Google Base op te slaan."
"Object model is not specified to save Google Base entry.","Item model is niet gespecificeerd om Google Base op te slaan."
"Page views","Pageviews"
"Please, select Attribute Set and Google Item Type to load attributes","Selecteer attributen-set en Google artikeltype om attributen te laden"
"Product Name","Productnaam"
"Publish","Publiceren"
"Published","Gepubliceerd"
"Remove","Verwijderen"
"Save Mapping","Toewijzing opslaan"
"Session expired during export. Please revise exported products and repeat the process if necessary.","Session expired during export. Please revise exported products and repeat the process if necessary."
"Synchronize","Synchroniseren"
"Target Country","Doel-land"
"The item type has been saved.","Het item type is opgeslagen."
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Deze procedure zal de artikelstatistieken bijwerken en de artikelen verwijderen die niet beschikbaar zijn in Google Base. Doorgaan?"
"Total of %d items(s) have been deleted; total of %d items(s) have been updated.","Total of %d items(s) have been deleted; total of %d items(s) have been updated."
"Total of %d items(s) have been published.","In totaal zijn %d artikelen met succes gepubliceerd"
"Total of %d items(s) have been removed from Google Base.","Een totaal van %d artikelen is met succes verwijderd uit Google Base."
"Total of %d items(s) have been saved as inactive items.","In totaal zijn %d artikelen opgeslagen als Inactief"
"Total of %d items(s) were successfully deleted, Total of %d items(s) were successfully updated","In totaal zijn %d artikelen met succes verwijderd. Een totaal van %d artikelen is met succes ge&uuml;pdate."
"Total of %d items(s) were successfully published","In totaal zijn %d artikelen met succes gepubliceerd"
"Total of %d items(s) were successfully removed from Google Base","Een totaal van %d artikelen is met succes verwijderd uit Google Base."
"Total of %d items(s) were successfully saved as Inactive items","In totaal zijn %d artikelen opgeslagen als Inactief"
"Total of %d product(s) have been added to Google Base.","In totaal zijn er %d artikelen toegevoegd aan Google Base"
"Total of %d product(s) were successfully added to Google Base","In totaal zijn er %d artikelen toegevoegd aan Google Base"
"US Dollar","US Dollar"
"Unable to connect to Google Base. Please, check Account settings in configuration.","Kan niet verbinden met Google Base. Controleer uw account-instellingen in de configuratie."
"Unable to select a Store View.","Selecteren van Winkelzicht was niet mogelijk."
"United Kingdom","Verenigd Koninkrijk"
"United States","Verenigde Staten"
"Update Google Base Item when Product is Updated","Google Base-artikelen bijwerken als product wordt ge&uuml;pdate"
"View Available Products","Beschikbare producten bekijken"
"View Item in Google Base","Artikel in Google Base bekijken"
"Yes","Ja"
