"<a href=""http://code.google.com/apis/maps/signup.html"" target=""_blank"">Generate API key for your domain</a>","<a href=""http://code.google.com/apis/maps/signup.html"" target=""_blank"">Generate API key for your domain</a>"
"Add New Location","Nieuwe locatie toevoegen"
"Address","Adres"
"Address for geo location","Adres voor geo locatie"
"Address to be displayed","Getoonde adres"
"All","Geen voorkeur"
"Dealers Near You","Winkels in de buurt"
"Default Location Address","Default Location Address"
"Default Search Radius","Default Search Radius"
"Delete Location","Locatie verwijderen"
"Distance Units (mi or km)","Distance Units (mi or km)"
"Edit Location","Wijzig locatie"
"Find Stores","Vind winkels"
"Find a Store","Vind een winkel"
"For websites URL please start with http://","Voor website's, begin met http://"
"General Settings","Algemene instellingen"
"Geo Location","Geo Locatie"
"Google API Key","Google API Key"
"Google Geo API URL","Google Geo API URL"
"ID","ID"
"If empty, will attempt to retrieve using the geo location address.","Als dit veld leeg is dan wordt de lengte- en breedtegraad opgezocht a.d.h.v. het bovenstaande adres."
"Inleverpunt","Inleverpunt"
"Latitude","Breedtegraad"
"Leave empty for default<br/>Format: <b>http://maps.google.com/maps/geo</b>","Leave empty for default<br/>Format: <b>http://maps.google.com/maps/geo</b>"
"Location Information","Locatie informatie"
"Longitude","Lengtegraad"
"Manage Locations","Beheer locaties"
"Manage Store Locations","Beheer winkellocaties"
"New Location","Nieuwe locatie"
"No results found","Geen resultaten"
"Notes","Extra"
"Number of Results to Show","Number of Results to Show"
"Phone","Telefoonnummer"
"Radius","Straal"
"Save Location","Locatie opslaan"
"Show Map on Page Load","Show Map on Page Load"
"Show Search Form","Show Search Form"
"Store Location Info","Winkelinformatoie"
"Store Locations","Winkellocaties"
"Store Type","Soort winkel"
"Store location was successfully deleted","Wikellocatie was succesvol verwijderd"
"Store location was successfully saved","Winkellocatie was succesvol opgeslagen"
"This address will be shown to visitor and should have multiple lines formatting","Dit adres wordt getoond aan de bezoeker."
"This address will be used to calculate latitude and longitude, free format is allowed.<br/>If left empty, will be copied from address to be displayed.","Dit adres wordt gebruikt om de lengte- en breedtegraad op te zoeken. Als deze wordt leeg gelaten wordt dit veld gekopieerd van het getoonde adres."
"Title","Winkelnaam"
"URL","URL"
"Verkooppunt","Verkooppunt"
"Website URL / Email","Website URL / e-mail"
"Your Address Information","Uw locatie"
