"%s - Discounts and Coupons","%s - Remises et coupons"
"%s - Special Products","%s - Produits spéciaux"
"%s RSS Feed","Flux RSS %s"
"%s has reached a quantity of %s.","%s a atteint la quantité de %s."
"%s\'s Wishlist","Liste d'envies de %s"
"Cannot retrieve the wishlist","Impossible de récupérer la liste d'envies"
"Catalog","Catalogue"
"Category Feeds","Flux de la catégorie"
"Comment: %s<br/>","Commentaire : %s<br/>"
"Coupons/Discounts","Coupons/Réductions"
"Current Status: %s<br/>","Statut actuel : %s<br/>"
"Customer Name: %s","Nom du client : %s"
"Customer Order Status Notification","Notification de statut de commande client"
"Details for %s #%s","Détails pour %s n°%s"
"Discount","Remise"
"Discount (%s)","Remise (%s)"
"Enable RSS","Activer le RSS"
"Error in processing xml. %s","Erreur lors du traitement XML. %s"
"From:","De :"
"Get Feed","Récupérer le flux"
"Gift Message","Message du cadeau"
"Grand Total","Montant global"
"Low Stock Products","Produits ayant un faible niveau de stock"
"Message:","Message :"
"Miscellaneous Feeds","Flux divers"
"New Orders","Nouvelles commandes"
"New Products","Nouveaux produits"
"New Products from %s","Nouveaux produits de %s"
"Notified Date: %s<br/>","Date notifiée : %s<br/>"
"Order # %s Notification(s)","Notification(s) de la commande n°%s"
"Order #%s created at %s","Commande n°%s créée le %s"
"Pending product review(s)","Commentaire(s) de produit en attente"
"Product: ""%s"" review By: %s","Produit : ""%s"" commenté par : %s"
"Product: <a href=""%s"">%s</a> <br/>","Produit : <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","Produits taggés avec %s"
"Purchased From: %s","Commandé sur : %s"
"RSS","RSS"
"RSS Feeds","Flux RSS"
"RSS Feeds List","Liste des flux RSS"
"Review: %s <br/>","Commentaire : %s <br/>"
"Rss Config","Configuration RSS"
"Rss Feeds Section","Section des flux RSS"
"Shipping &amp; Handling","Frais de port"
"Special Products","Produits spéciaux"
"Store: %s <br/>","Magasin : %s <br/>"
"Subtotal","Sous-total"
"Summary of review: %s <br/>","Résumé du commentaire : %s <br/>"
"Tags Products","Tags produits"
"Tax","TVA & autres taxes"
"There are no Rss Feeds","Il n'y a pas de flux RSS"
"To:","À :"
"Top Level Category","Catégorie de niveau supérieur"
"Total: %s<br/>","Total : %s<br/>"
"Wishlist","Liste d'envies"
"click <a href=""%s"">here</a> to view the review","cliquez <a href=""%s"">ici</a> pour lire le commentaire"
"%s's Wishlist","Liste d'envies de %s"
"Click for price","Cliquez pour afficher le prix"
"Order","Commande"
"RSS Feeds Section","Section des flux RSS"
