"Secret Code","Secret Code"
"Language used","Te gebruiken taal"
"Payment message","Bericht"
"Show ICEPAY statement","Toon ICEPAY informatie blok"
"Auto invoice","Automatische facturatie van de order"
"Auto cancel","Automatische annulering van de order"
"IP check on postback","IP postback controle"
"Enable logging","Activeer loggen"
"Writable directories","Schrijfbare mappen"
"Payment Method Fee","Betaalmethode toeslag"
"This payment method requires an additional fee.","Er geldt een toeslag voor het gebruik van deze betaalmethode."
"This payment method is not activated.","Deze betaalmethode is niet actief."
"fee","toeslag"
"Contacting payment gateway","Contact maken met betaal platform..."
"Select the country of your account","Kies het land van uw account"
"Select your iDeal bank","Kies uw iDeal bank"
"Select your CreditCard","Kies uw CreditCard"
"Description in checkout","Omschrijving in Checkout"
"User country select","Landkeuze door gebruiker"
"Add fee (Flat Rate - Fixed)","Toeslag (Vast bedrag, Flat Rate)"
"You will be redirected to the payment page after completing the order.","U wordt verwezen naar de betaalpagina na het plaatsen van de order."
"You will be charged an extra fee of %s.","Er wordt een toeslag bijgerekend van %s."
"Error","Foutmelding"
"Auto-Invoice","Auto-Factureer"
"Auto-Cancel","Auto-Annuleer"
"ICEPAY Configuration","ICEPAY Configuratie"
"Inform customer of all status changes","Informeer eindgebruiker van alle ICEPAY status updates"
"Preparing","Gereed maken"
"Payment confirmed. Invoice created automatically.","Betaling voltooid. Factuur is automatisch aangemaakt."
"The order has been cancelled","De bestelling is geannuleerd"
"[ICEPAY] Preparing","[ICEPAY] gereed maken..."
"[ICEPAY] Pending","[ICEPAY] NEEDS-CHANGING"
"[ICEPAY] Open","[ICEPAY] Open"
"[ICEPAY] Completed","[ICEPAY] Voltooid"
"[ICEPAY] Error","[ICEPAY] Fout"
"[ICEPAY] Refund","[ICEPAY] Refund"
"[ICEPAY] Chargeback","[ICEPAY] Chargeback"
"ICEPAY payments - main module","ICEPAY betalingen - hoofd module"
"ICEPAY paymentmethod","ICEPAY Betaalmethode"
"ICEPAY iDeal payments","ICEPAY iDeal betalingen"
"ICEPAY CreditCard payments","ICEPAY CreditCard betalingen"
"ICEPAY Direct Debit payments","ICEPAY Direct Debit (Incasso/Eenmalige machtiging) betalingen"
"ICEPAY Paysafecard payments","ICEPAY Paysafecard betalingen"
"ICEPAY Giropay payments","ICEPAY Giropay betalingen"
"ICEPAY Wallie payments","ICEPAY Wallie betalingen"
"ICEPAY Paypal payments","ICEPAY Paypal betalingen"
"ICEPAY Wiretransfer payments","ICEPAY Wiretransfer (Overboeking) betalingen"
"ICEPAY Direct E-Banking payments","ICEPAY Direct E-Banking betalingen"
"Safe and Secure Online Payments","Veilig en Vertrouwd Online Betalen"
"All online payments on this website are <strong>safe and secure</strong> and processed discretely by the <a href='http://www.icepay.eu' target='_blank' style='color: #7093a9; text-decoration: underline;'>Payment Service Provider ICEPAY</a>.","Alle online betalingen op deze website worden op <strong>veilige en   vertrouwde</strong> wijze verzorgd door de Nederlandse <a href='http://www.icepay.eu' target='_blank' style='color: #7093a9; text-decoration: underline;'>Payment Service Provider ICEPAY</a>."
"Thanks to the Thawte SSL certificate the highest level of authentication is obtained by ICEPAY.","Dankzij het door ICEPAY verkregen Thawte SSL Certificaat wordt de hoogst  mogelijke graad van authenticatie verkregen."
"All purchases on this site are guaranteed secure.<br />","Alle aankopen die u op deze website doet zijn dan ook gegarandeerd veilig! <br />"
"As an official business partner of the Dutch Home Shopping Organization, known as 'Thuiswinkel.org', ICEPAY follows strict rules and regulations concerning privacy, right of withdrawal and dispute settlement.","Als officieel businesspartner van Thuiswinkel.org houdt ICEPAY zich aan de strikte gedragsregels rond informatieplicht, privacy, herroepingrecht en geschillenbeslechting."
"A safe and reliable situation.","Een comfortabel en vertrouwd gevoel."
"Description on transaction statement of customer","Omschrijving voor het transactie overzicht van de klant"
"Credit card: American Express","American Express creditcard"
"Credit card: Master Card","MasterCard creditcard"
"Credit card: VISA","VISA creditcard"
"Direct Debit: Automatische incasso","Automatisch Incasso"
"iDEAL: ABN AMRO","iDeal: ABN-Amro Bank"
"iDEAL: ASN Bank","iDeal: ASN Bank"
"iDEAL: Fortis","iDeal: Fortis Bank"
"iDEAL: Friesland Bank","iDeal: Friesland Bank"
"iDEAL: ING","iDeal: ING Bank"
"iDEAL: Rabobank","iDeal: Rabobank"
"iDEAL: SNS Bank","iDeal: SNS Bank"
"iDEAL: SNS Regio Bank","iDeal: SNS RegioBank"
"iDEAL: Triodos Bank","iDeal: Triodos Bank"
"Wallie-card: Default Wallie Card MerchantID","Wallie Card"
"Wire Transfer: Wire transfer","Bank Overschrijving"
"GIROPAY: Giropay","GIROPAY"
"Direct e-Banking: Direct e-banking Digital","Direct e-Banking"
"Direct e-Banking: Direct e-banking Adult","Direct e-Banking"
"Direct e-Banking: Direct e-banking Retail","Direct e-Banking"
"09xx service number: Progress bar, PPM with predefined amount","Telefoonbetaling: Betaal per minuut"
"09xx service number: Pay per call fixed amount","Telefoonbetaling: Betaal per gesprek"
"09xx service number: Pay per minute without predefined amount eg stream","Telefoonbetaling: Betaal per minuut"
"Premium SMS service: Default Premium SMS","Telefoonbetaling: Betaal per SMS"
"Please configure the ICEPAY configuration module first.","Stel aub eerst de ICEPAY configuratie module in."
"PHP SOAP is not detected and is required to use this payment method.","PHP SOAP is niet gedetecteerd en is vereist om deze betaalmethode te gebruiken."
"This payment method is not activated for this merchant ID.","Deze betaalmethode is niet geactiveerd voor de gekoppelde merchant ID."
"Please contact ICEPAY to enable the apropriate Direct E-Banking account type. (Retail/Adult/Other)","Neem aub contact op met ICEPAY om het juiste Direct E-Banking accounttype te koppelen. (Retail/Adult/Anders)"
"The Merchant ID is not properly configured","De ICEPAY MerchantID is niet correct ingesteld"
"The Secret Code is not properly configured","De ICEPAY Secret Code is niet correct ingesteld"
"ICEPAY Module is not properly configured","De ICEPAY module is niet correct ingesteld"
"The 'Logs' directory is not writable but logging is enabled, change the CHMOD permissions of the directory","De 'Logs' directory is niet schrijfbaar en Loggen is ingeschakeld. Veranderd de CHMOD permissies van de directory."
"The 'Stored' directory is not writable, change the CHMOD permissions of the directory","De 'Stored' directory is niet schrijfbaar. Veranderd de CHMOD permissies van de directory."
"SOAP is not detected, you require the PHP SOAP library to use the ADVANCED checkout","PHP SOAP is niet gedetecteerd, deze is vereist om de ADVANCED checkout methode te gebruiken"
"The following URLs are generated to be used to create your ICEPAY Merchant account, these are for copy-paste purposes and cannot be changed.","De volgende URLs zijn gegenereerd om te gebruiken in het ICEPAY Merchant account, deze zijn enkel voor copy-paste doeleinden en kunnen niet aangepast worden."
"Click here to test the URL layout","Klik hier om de URL opmaak te controleren"
"The generated URL layout is functioning properly.","De gegenereerde URL opmaak werkt naar behoren."
"Payment data must be sent to this page in order for it to function properly. Direct access does not work.","Betaalinformatie dient naar deze pagina gestuurd te worden om naar behoren te functioneren. Directe toegang werkt niet."
"Error: Customer chose inactive payment method in checkout!","Fout: Eindgebruiker heeft een inactieve betaalmethode gekozen tijdens checkout!"
"This payment method is not activated, please try a different payment method.","Deze betaalmethode is niet geactiveerd, probeer het aub opnieuw met een andere betaalmethode."
"You are unable to use this payment method, the required currency does not match. This paymentmethod is only available for %s.","Deze betaalmethode kan niet gebruikt worden. Deze betaalmethode is enkel beschikbaar voor de volgende valuta: %s."
"Quick selfcheck results:","Resultaten snelle zelfcontrole:"
"The stored SOAP merchant data does not exist or does not contain data","De opgeslagen SOAP merchant data bestaat niet of bevat geen data"
"The default merchant is properly configured","De standaard merchant is goed ingesteld"
"Do a small selfcheck of the main configuration","Doe kleine zelfcontrole hoofdconfiguratie"
"ICEPAY Magento forum","ICEPAY Magento forum"
"Click <a href='%s'>here</a> to reorder.","Klik <a href='%s'>hier</a> om opnieuw te bestellen."
"Check the merchant configuration of the module and reload the paymentmethods configuration page to retrieve the latest data from ICEPAY.","Controleer de ingestelde merchant informatie van de configuratiemodule en herlaad de betaalmethoden configuratie pagina om de nieuwe data van ICEPAY op te halen."
