"%s - Discounts and Coupons","%s – Kortingen en bonnen"
"%s - Special Products","%s - Speciale Producten"
"%s RSS Feed","%s RSS Feed"
"%s has reached a quantity of %s.","%s heeft een aantal van %s bereikt."
"%s\'s Wishlist","%s\'s verlanglijst"
"Cannot retrieve the wishlist","Kan verlanglijst niet ophalen"
"Catalog","Catalogus"
"Category Feeds","Categorie-feeds"
"Click for price","Klik voor de prijs"
"Comment: %s<br/>","Notitie: %s<br />"
"Coupons/Discounts","Kortingsbonnen/kortingen"
"Current Status: %s<br/>","Huidige status: %s<br />"
"Customer Name: %s","Klantnaam: %s"
"Customer Order Status Notification","Melding bestelstatus van klant"
"Details for %s #%s","Details voor %s #%s"
"Discount","Korting"
"Discount (%s)","Korting (%s)"
"Enable RSS","RSS inschakelen"
"Error in processing xml. %s","Fout tijdens verwerken van XML. %s"
"From:","Van:"
"Get Feed","Feed opvragen"
"Gift Message","Bericht bij kado"
"Grand Total","Totaal"
"Low Stock Products","Producten met weinig voorraad"
"Message:","Bericht:"
"Miscellaneous Feeds","Diverse Feeds"
"New Orders","Nieuwe bestellingen"
"New Products","Nieuwe producten"
"New Products from %s","Nieuwe producten van %s"
"Notified Date: %s<br/>","Datum ingelicht: %s<br />"
"Order # %s Notification(s)","Bestelling %s melding(en)"
"Order #%s created at %s","Bestelling %s aangemaakt op %s"
"Pending product review(s)","Onafgehandelde productbeoordelingen"
"Product: ""%s"" review By: %s","Product: ""%s"" beoordeling door: %s"
"Product: <a href=""%s"">%s</a> <br/>","Product: <a href=""%s"">%s</a><br />"
"Products tagged with %s","Producten gelabeld met %s"
"Purchased From: %s","Gekocht in: %s"
"RSS","RSS"
"RSS Feeds","RSS feeds"
"RSS Feeds List","RSS Feeds lijst"
"RSS Feeds Section","RSS Feeds Section"
"Review: %s <br/>","Beoordeel: %s"
"Rss Config","RSS configuratie"
"Shipping &amp; Handling","Verzendmethode &amp; Handling"
"Special Products","Speciale producten"
"Store: %s <br/>","Winkel: %s<br />"
"Subtotal","Subtotaal"
"Summary of review: %s <br/>","Samenvatting van beoordeling: %s<br>"
"Tags Products","Productlabels"
"Tax","BTW"
"There are no Rss Feeds","Er zijn geen RSS feeds"
"To:","Tot:"
"Top Level Category","Top level categorie"
"Total: %s<br/>","Totaal: %s<br />"
"Wishlist","Verlanglijst"
"click <a href=""%s"">here</a> to view the review","klik <a href=""%s"">hier</a> om de beoordeling te bekijken"
