"%s days","%s dagen"
"Access denied!","Geen toegang!"
"Account Information","Account informatie"
"Action is blocked in quote confirmation mode","Actie is geblokkeerd in offerte bevestiging status"
"Add Qty","Aantal toevoegen"
"Add to Cart","Bestellen"
"Add to Quote","Offerte"
"Address","Adres"
"All items were moved to cart successfully.","Alle producten zijn succesvol op de steekwagen geplaatst."
"Allowed to Quote Mode","Toegang tot offerte modus"
"Atr. nr.","Art. nummer"
"Back to My Quotes","Terug naar Mijn offertes"
"Be advised to enter your comments","Vul uw opmerkingen, aantallen en adresgegevens in bij het plaatsen van uw offerteaanvraag. Deze informatie wordt niet opgeslagen wanneer u uw offerteaanvraag niet doorzet."
"Billing address wasn't added","Factuur adres nog niet toegevoegd"
"By deleting an item, you will create a new quote request. Do you want to do this?","Door een product te verwijderen maak je een nieuwe offerte aanvraag. Wil je dit?"
"Can not add client note request to the product.","Kan de opmerking niet toevoegen aan het product."
"Can not add customer address.","Kan klantadres niet toevoegen"
"Can not add one of the items to quote request.","Kan een van de producten niet toevoegen aan de offerte aanvraag."
"Can't remove item","Kan het product niet verwijderen"
"Can't update quote list","Kan de offerte aanvraag niet aanpassen"
"Cancel","Annuleer"
"Cancel Action","Annuleren"
"Change to Order mode?","Omschakelen naar bestel modus?"
"Change to Quotation mode?","Omschakelen naar offerte aanvragen?"
"Change to Quote mode?","Omschakelen naar offerte aanvragen?"
"Checking..","Controleren..."
"City","Plaats"
"Company","Bedrijfsnaam"
"Confirm and CheckOut","Bevestig en doorgaan"
"Continue","Doorgaan"
"Continue Action","Doorgaan"
"Continue Shopping","Verder winkelen"
"Copy to Quotation","Kopieeren naar offerteaanvraag"
"Copy to Quotation?","Kopieeren naar offerteaanvraag?"
"Country","Land"
"Customer email already exists. You should login <a href=""%s"">here</a>","Dit e-mailadres bestaat al. Klik <a href=""%s"">hier om in te loggen</a>"
"Date","Datum"
"Date of Proposal","Datum van offerte"
"Default Address","Standaard adres"
"Do you have a general remark with your quote request?","Algemene opmerkingen"
"Edit Quote","Offerte bewerken"
"Email Address","E-mailadres"
"Email already exists","E-mailadres bestaat al"
"Enter your destination to get a shipping quotation","Vul hier het juiste verzend adres in"
"Enter your details to get a price proposal","Vul uw gegevens in"
"Fax","Fax"
"First Name","Voornaam"
"Fixed Shipping & Handling price","Vaste verzend- en behandelkosten"
"Information by Quote request avaliable by link below","Informatie voor offerte aanvraag beschikbaar via onderstaande link"
"Item %s wasn't  moved to Shopping cart","Product %s is niet naar de steekwagen verplaatst"
"Item %s wasn't  removed from Quote mode","Product %s is niet verwijderd van de offerte aanvraag"
"Item was deleted successfully.","Het product is succesvol verwijderd."
"Item was moved to cart successfully.","Het product is succesvol op je steekwagen geplaatst."
"Item was moved to quote successfully.","Het product is succesvol verplaatst naar de offerte aanvraag."
"Item(s) were moved from Quote to Order mode successfully.","Artikelen zijn succesvol overgezet van offerte aanvraag naar steekwagen"
"Items Quoted","Producten aangevraagd"
"Last Name","Achternaam"
"Log in and <a href='%s'>click on to View Quote.</a>","Login en <a href='%s'>bekijk de offerte.</a>"
"Move to Shopping cart","Verplaatsen naar winkelwagen"
"Move to shopping cart?","Verplaatsen naar winkelwagen?"
"My Quote list","Mijn offerte aanvraag"
"My Quotes","Mijn offerte aanvragen"
"My quote request","Mijn offerte aanvraag"
"My quote request (%s item)","Mijn offerte aanvraag (%s item)"
"My quote request (%s items)","Mijn offerte aanvraag (%s items)"
"New Address","Nieuw adres"
"No Items to display.","Geen producten om te laten zien."
"No item in quote.","Geen producten in de offerte lijst."
"Order Mode","Direct bestellen"
"Original Price","Originele prijs"
"Owner price","Offerte prijs"
"Please enter an valid email address","Vul een geldig e-mailadres in"
"Please select region, state or province","Vul hier je provincie in"
"Please select required qty and check out online to see applicable price.","Kies je gewenste aantal eerst, de verzendkosten worden getoond in het afrekenproces."
"Please specify product quantity.","Vul het aantal in."
"Price Proposal","Offerte prijs"
"Print Quote","Offerte uitprinten"
"Product %s successfully added to Quote Request","Product %s is succesvol toegevoegd aan je offerte aanvraag"
"Product %s was deleted from your shopping cart","Product %s is verwijderd van je steekwagen"
"Product Name","Productnaam"
"Proposal Valid Until: %s","Offerte geldig tot: %s"
"Proposal valid until","Offerte geldig tot"
"Qquote cancel email was't sent to admin for quote #%s","De aanvraag-annuleren e-mail is niet verstuurd naar de admin voor offerte aanvraag #%s"
"Qquote proposal email was't sent to the client for quote #%s","De offerte e-mail is niet verstuurd naar de klant voor offerte aanvraag #%s"
"Qquote request email was't sent to admin for quote #%s","De offerte aanvraag e-mail is niet verstuurd naar admin voor offerte #%s"
"Qty","Aantal"
"Quotation # %s","Berekening # %s"
"Quotation #%s - Proposal","Offerte aanvraag #%s"
"Quotation #%s was rejected","Offerte #%s is afgewezen"
"Quotation Date: %s","Offerte aanvraag datum: %s"
"Quote","Offerte aanvraag"
"Quote #","Offerte aanvraag #"
"Quote #%s","Offerte #%s"
"Quote List","Offerte lijst"
"Quote Proposal","Offerte nummer"
"Quote Request in Process, wait for price proposal Shopowner","Offerte aanvraag in behandeling, wacht op een prijsvoorstel."
"Quote Status","Offerte aanvraag status"
"Quote list was updated successfully.","De offerte lijst is succesvol aangepast."
"Quote mode","Offerte aanvragen"
"Quote request information","Offerte aanvraag informatie"
"Quote shipping proposal from owner","Offerte verzendkosten"
"Reject Proposal","Offerte afwijzen"
"Remark with Proposal","Opmerking bij offerteaanvraag"
"Remove","Verwijderen"
"Remove item","Verwijder product"
"Request a shipping quote","Vraag de verzendkosten op"
"Request for Quote","Offerte aanvraag"
"Request information","Opmerkingen"
"Request quote","Vraag offerte aan"
"Requested information","Opmerkingen"
"Required Fields","Verplichte velden"
"Resubmit Quote","Vraag opnieuw aan"
"STATUS_BEGIN","Gestart"
"STATUS_CANCELED","Offerte geannuleerd"
"STATUS_CONFIRMED","Offerte geaccepteerd"
"STATUS_DENIED","Offerte afgewezen"
"STATUS_PROPOSAL","Offerte gereed"
"STATUS_PROPOSAL_EXPIRED","Offerte verlopen"
"STATUS_PROPOSAL_SAVED","Offerte bewaard"
"STATUS_REJECTED","Verwijderd"
"STATUS_REQUEST","In behandeling"
"STATUS_REQUEST_EXPIRED","Offerte verlopen"
"Shipping & Handling price per product per Unit","Verzend- en behandelkosten per product"
"Shipping & Handling price varies.","Verzend- en behandelkosten varieren."
"Shipping Address","Verzend adres"
"Shipping Method","Verzend methode"
"Shipping details","Verzend gegevens"
"State/Province","Provincie"
"Status","Status"
"Switch to Order mode","Omschakelen naar bestel modus"
"Switch to Quote mode","Omschakelen naar offerteaanvraag modus"
"TAX","BTW"
"TO:","Aan:"
"Telephone","Telefoon"
