"Allow Everything","Sta alles toe"
"Filter Properties","Filter Eigenschappen"
"Display Type","Type Weergaven"
"Labels Only","Alleen Labels"
"Images Only","Alleen Afbeeldingen"
"Images and Labels","Afbeeldingen en Label"
"Drop-down List","Drop-down Lijst"
"Labels in 2 columns","Labels in 2 kolommen"
"Folded by Default","Standaard Ingeklapt"
"Do not show quantities","Toon geen aantallen"
"Sort Options By","Sorteer opties volgens"
"Position","Positie"
"Name","Naam"
"Product Quatities","Product aantallen"
"Product Quantities","Product aantallen"
"ID","ID"
"Title","Titel"
"General","Generiek"
"Options","Opties"
"Edit Filter Properties","Wijzig Filter Eigenschappen"
"Attribute","Attribuut"
"Delete","Verwijder"
"Are you sure?","Weet je het zeker?"
"Manage Filters","Beheer Filters"
"Load","Laadt"
"On Page Description","In Pagina beschrijving"
"Show Description","Toon Beschrijving"
"Description","Beschrijving"
"Meta Tags","Meta Tags"
"Title Tag","Titel Tag"
"Meta-Description Tag","Meta-Description Tag"
"Images","Afbeeldingen"
"Small Image","Kleine Afbeelding"
"Remove Small Image","Verwijder Kleine Afbeelding"
"Main Image","Hoofd-afbeelding"
"Remove Main Image","Verwijder Hoofd-afbeelding"
"Option Properties","Optie Eigenschappen"
"Filters","Filters"
"Filters and their options have been loaded","De filters en hun opties zijn geladen"
"Filter does not exist","Filter bestaat niet"
"Filter properties have been successfully saved","Filter eigenschappen zijn succesvol opgeslagen"
"Unable to find a filter to save","Kon geen filter vinden om op te slaan"
"Please select filter(s)","Selecteer filter(s) a.u.b."
"Total of %d record(s) were successfully deleted","Totaal van %d rij(en) zijn succesvol verwijderd"
"Option does not exist","Optie bestaat niet"
"Unable to find an option to save","Kon geen optie vinden om op te slaan"
"Option properties have been successfully saved","Optie eigenschappen zijn succesvol opgeslagen"
"Improved Layered Navigation","Verbeterede gelaagde navigatie"
"Settings","Instellingen"
"Enabled","Ingeschakeld"
"All","Alle"
"Please Select","Selecteer a.u.b."
"Use strict attribute matching","Gebruik strikte attribuut overeenkomsten"
"In strict mode page not match when extra attribute filters or values present","In strikte modus matchen pagina's waneer er extra attribuut filters of waarden present zijn"
"Less ...", "Minder ..."
"More ...", "Meer ..."
