"%s Stock Qty","%s Voorraad aantal"
"'*' - matches any.","'*' - matcht elke."
"Action","Actie"
"Add Area","Voeg gebied toe"
"Add New Warehouse","Nieuw warenhuis toevoegen"
"All Warehouses","Alle warenhuizen"
"Allows one product delivery from several warehouses for a single order. It takes place if a product is not available in a requested quantity in any warehouse.","Sta toe dat een product geleverd wordt uit meerdere warenhuizen voor een enkele bestelling. Deze situatie komt voor als een product niet in zijn geheel bij een warenhuis besteld kan worden."
"Amount","Hoeveelheid"
"An error occurred while saving the area: %s.","Er is een fout opgetreden bij het opslaan van een gebied: %s."
"An error occurred while saving the warehouse.","Er is een fout opgetreden bij het opslaan van een warenhuis."
"Apply","Toepassen"
"Are you sure you want to delete area?","Weet u zeker dat u dit gebied wilt verwijderen?"
"Area","Gebied"
"Areas","Gebieden"
"Assigned Areas","Toegewezen gebieden"
"Assigned Stores","Toegewezen winkels"
"Attrib. Set Name","Attribuut Stel Naam In"
"Batch Price","Warenhuis prijs"
"Batch Special Price","Warenhuis speciale prijs"
"Bill to Name","Factuur naar naam"
"Catalog","Catalogus"
"City","Stad"
"Code","Code"
"Comma-separated.","Komma-gescheiden."
"Contact","Contact"
"Costs","Kosten"
"Country","Land"
"Create separated orders for each warehouse.","Maak gescheiden bestellingen aan voor elk warenhuis."
"Created At","Gemaakt op"
"Credit Memo #","Creditfactuur-nummer "
"Credit Memos","Creditfacturen"
"Date Shipped","Datum verzonden"
"Decimals","Decimalen"
"Default","Standaard"
"Delete","Verwijder"
"Delete Warehouse","Verwijder warenhuis"
"Delivery Method","Verzendmethode"
"Description","Beschrijving"
"Duplicate Row #%s (Warehouse ""%s"", Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"").","Dupliceer regel #%s (Warenhuis ""%s"", Land ""%s"", Provincie ""%s"", Postcode ""%s"" en Waarde ""%s"")."
"Duplicate area.","Dupliceer  gebied."
"Duplicate website tier price warehouse, customer group and quantity.","Dupliceer website staffelprijzen warenhuis, klantgroep en aantal."
"Edit","Wijzig"
"Edit Warehouse","Wijzig warenhuis"
"Edit Warehouse '%s'","Wijzig warenhuis '%s'"
"Email","E-mail"
"Enable Qty Inc.","Aantal-stappen Insch."
"Enable Qty Increments","Aantal-stappen Inschakelen"
"Enable Shelves","Planknummers inschakelen"
"Enable Shipping Methods Filter","Schakel Verzendmethoden filter in"
"Enabled","Ingeschakeld"
"Fixed","Vast"
"Force No Backorders for Cart","Forceer 'Geen backorders voor winkelwagen'"
"Force No Backorders for Cart Item","Forceer 'Geen backorders voor winkelwagen items'"
"G.T. (Base)","Totaal (Basis)"
"G.T. (Purchased)","Totaal (Betaald)"
"General","Algemeen"
"ID","ID"
"Incorrect shipping method selected for %s warehouse.","Onjuiste verzendmethode geselecteerd voor warenhuis %s."
"Incorrect shipping method selected.","Onjuiste verzendmethode geselecteerd."
"Invalid data.","Ongeldige data."
"Invalid model for multiple mode delivery method: %","Invalid model for multiple mode delivery method: %"
"Invalid model for single mode delivery method: %","Invalid model for single mode delivery method: %"
"Inventory","Voorraad"
"Invoice #","Factuurnummer"
"Invoice Date","Factuur datum"
"Invoices","Facturen"
"Lowest Grand Total","Laagste prijs totaal"
"Lowest Shipping","Laagste verzending"
"Lowest Subtotal","Laagste subtotaal"
"Lowest Tax","Laagste BTW"
"Manage Stock","Beheer voorraad"
"Manage Warehouses","Beheer warenhuizen"
"Manual Selection","Handmatige selectie"
"Max Allowed Qty","Totaal toegestaan aantal"
"Maximum Qty Allowed in Shopping Cart","Maximaal aantal toegestaan in winkelwagen"
"Min Allowed Qty","Minimaal aantal toegestaan"
"Minimum Qty Allowed in Shopping Cart","Minmaal aantal toegestaan in winkelwagen"
"Mode","Modus"
"Multiple","Meerdere"
"Multiple Mode","Meerdere-modus"
"Name","Naam"
"Nearest","Dichtbijzijnd"
"New Order Email Sender","Nieuwe bestelling email verzender"
"New Order Template","Nieuwe bestelling sjabloon"
"New Order Template for Guest","Nieuwe bestelling sjabloon voor gast"
"New Warehouse","Nieuw warenhuis"
"New Warehouse Order","Nieuw warenhuis bestelling"
"New Warehouse Order for Guest","Nieuw warenhuis bestelling voor gast"
"No","Nee"
"No shipping method selected for %s warehouse.","Geen verzendmethode geselecteerd voor warenhuis %s."
"No shipping method selected.","Geen verzendmethode geselecteerd."
"No warehouse","Geen warenhuis"
"No warehouses found","Geen warenhuizen gevonden"
"Notify Qty Below","Stel op de hoogte-aantal onder"
"Notify for Quantity Below","Stel op de hoogte voor aantal onder"
"Notify?","Stel op de hoogte?"
"Options","Opties"
"Order #","Bestelnummer"
"Order Date","Bestelling datum"
"Order Warehouse:","Bestelling warenhuis:"
"Orders","Bestellingen"
"Origin","Herkomst"
"Origin City","Plaats herkomst"
"Origin Country","Land herkomst"
"Origin Postal Code","Postcode herkomst"
"Origin Region/State","Provincie herkomst"
"Out of Stock Qty","Niet op voorraad aantal"
"Percent","Procent"
"Please specify shipping method for %s warehouse.","Specificieer verzendmethode voor warenhuis %s."
"Please specify shipping method for one quote at least.","Specificeer verzendmethode voor ten minste één offerte."
"Please specify shipping method.","Specificeer verzendmethode a.u.b."
"Price","Prijs"
"Priority","Prioriteit"
"Products","Producten"
"Purchased From (Store)","Gekocht in winkel"
"Purchased On","Gekocht op"
"Qty","Aantal"
"Qty Inc.","Aantal-stap."
"Qty Increments","Aantal-stappen"
"Qty Uses Decimals","Aantal gebruikt decimalen"
"Qty for Item's Status to become Out of Stock","Aantal wanneer items op 'Niet op voorraad' komen te staan."
"Refunded","Terugbetaald"
"Region/State","Provincie"
"Retrieve stock data by product ids and stock id","Voorraad informatie per product ids en stock id ophalen"
"Retrieve stock data by product ids and stock identifier","Voorraad informatie per product ids en stock identifier ophalen"
"SKU","SKU"
"Save Warehouse","Warenhuis opslaan"
"Save Warehouse and Continue Edit","Warenhuis opslaan en verder bewerken"
"Send Order Email Copy Method","Stuur bestelling-email kopie-methode"
"Send Order Email Copy To","Stuur bestlling-email-kopie naar"
"Shelf Information","Plank informatie"
"Shelves","Planken"
"Ship to Name","Stuur naar naam"
"Shipment #","Verzendnummer "
"Shipments","Verzendingen"
"Shipping","Verzending"
"Shipping Methods","Verzendmethoden"
"Shipping method has not been selected for the %s warehouse yet","Verzendmethode is nog niet geselecteerd voor warenhuis %."
"Shipping method must be specified for %s warehouse.","Verzendmethode moet worden gespecificeerd voor warenhuis %s."
"Show Warehouse Description","Toon warenhuis omschrijving"
"Show Warehouse Information","Toon warenhuis informatie"
"Single","Enkele"
"Single Mode","Enkele-modus"
"Split Order","Splits bestelling"
"Split Qty for Delivery","Splits aantal voor verzending"
"Status","Status"
"Stock Availability","Voorraad beschikbaarheid"
"Stores","Winkels"
"Submit","Opslaan"
"Tab","Tab"
"The area has been deleted.","Het gebied is verwijderd."
"The area has been saved.","Het gebied is opgeslagen."
"The default warehouse can't be deleted.","Het standaard warenhuis kan niet worden verwijderd."
"The orders has been created.","De bestellingen bij aangemaakt."
"The warehouse has been deleted.","Het warenhuis is verwijderd."
"The warehouse has been saved.","Het warenhuis is opgeslagen."
"There are no shipping methods available for %s warehouse.","Er zijn geen verzendmethoden beschikbaar voor warenhuis %s."
"There are no shipping methods available.","Er zijn geen verzendmethoden beschikbaar."
"This area no longer exists.","Dit gebied bestaat niet langer."
"This warehouse no longer exists.","Dit warenhuis bestaat niet langer."
"Title","Titel"
"Total Qty","Totaal aantal"
"Type","Type"
"Unable to find a warehouse to delete.","Kan te verwijderen warenhuis niet vinden."
"Update product stock data and stock id","Product stock data en stock id bijwerken"
"Update product stock data by stock id","Product stock data per stock id bijwerken"
"Update product stock data by stock identifier","Product stock data per stock identifier bijwerken"
"View","Bekijk"
"Visibility","Zichtbaarheid"
"Warehouse","Warenhuis"
"Warehouse Information","Warenhuisinformatie"
"Warehouse Order","Warenhuis bestelling"
"Warehouse Priority","Warenhuis prioriteit"
"Warehouse code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Warenhuis-code mage alelen letters (a-z), nummers (0-9) en underscores (_) bevatten, het eerste karakter moet een letter zijn."
"Warehouse with the same code already exists.","Warenhuis met dezelfde code bestaat al."
"Warehouse with the same title already exists.","Warenhuis met dezelfde titel bestaat al."
"Warehouses","Warenhuizen"
"Warehouses Section","Warenhuizen selectie"
"Websites","Websites"
"Yes","Ja"
"Your Warehouse","Uw Warenhuis"
