"'*' or blank - matches any","'*' of leeg - selecteert alles"
"Add New Rate","Nieuwe regel toevoegen"
"All Websites","Alle websites"
"An error occurred while saving the rate.","Er is een fout opgetreden bij het opslaan van de regel."
"Are you sure?","Weet u het zeker?"
"CSV","CSV"
"Choose Website","Kies website"
"Condition Name","Conditienaam"
"Condition Value","Conditiewaarde"
"Cost","Kosten"
"Delete Rate","Regel verwijderen"
"Dest Country","Land van bestemming"
"Dest Region/State","Provincie van bestemming"
"Dest Zip/Postal Code","Postcode van bestemming"
"Duplicate rate.","Regel dupliceren."
"Edit Rate","Wijzig regel"
"Edit Rate '%s'","Regel wijzgigen '%s'"
"Excel XML","Excel XML"
"New Rate","Nieuwe regel"
"No table rates found.","Geen tabel-prijzen gevonden."
"Notes","Notities"
"Please confirm website switching. All data that hasn't been saved will be lost.","Bevestig schakelen naar andere website. Alle niet opgeslagen informatie zal verloren gaan."
"Please select rate(s).","Selecteer regel(s) a.u.b."
"Price","Prijs"
"Rate Information","Regel informatie"
"Sales","Verkopen"
"Save Rate","Regel opslaan"
"Shipping","Verzending"
"Shipping Table Rates","Verzending tabel-prijzen"
"The rate has been deleted.","De regel is verwijderd."
"The rate has been saved.","De regel is opgeslagen."
"This rate no longer exists.","Deze regel bestaat niet langer."
"Total of %d record(s) have been deleted.","Totaal van %d regels(s) zijn verwijderd."
"Unable to find a rate to delete.","Kan regel om te verwijderen niet vinden.."
