"Alert Email Sender","Afzender e-mail met melding"
"Alert subscription has been saved.","Notificatie is opgeslagen"
"Allow Alert When Product Comes Back in Stock","Melding toestaan als product weer op voorraad is"
"Allow Alert When Product Price Changes","Melding toestaan bij prijswijziging"
"Click here not to receive alerts for this product","Klik hier om geen meldingen meer te ontvangen over dit product"
"Error Email Recipient","Fout e-mail ontvanger"
"Error Email Sender","Fout e-mail afzender"
"Error Email Template","Fout e-mail template"
"Frequency","Frequentie"
"Not enough parameters.","Te weinig informatie"
"Price Alert Email Template","Sjabloon e-mail met prijsmelding"
"Price:","Prijs:"
"Product Alerts","Product-waarschuwingen"
"Product Alerts Run Settings","Instellingen productmeldingen"
"Product alerts Cron error","Cron-fout productmeldingen"
"Product price alert","Prijsmelding"
"Product stock alert","Voorraadmelding"
"Regular Price:","Normale prijs:"
"Sign up for price alert","Stuur e-mail bij prijswijzigingen"
"Sign up to get notified when this product is back in stock","Stuur e-mail wanneer dit product weer op voorraad is."
"Special price:","Speciale prijs"
"Start Time","Starttijd"
"Stock Alert Email Template","Sjabloon e-mail met voorraadmelding"
"The alert subscription has been deleted.","De notificatie is verwijderd"
"The alert subscription has been saved.","De notificatie is opgeslagen"
"The product is not found.","Dit product is niet gevonden"
"The product was not found.","Dit product is niet gevonden"
"Unable to update the alert subscription.","Het opslaan van de notificatie is niet mogelijk"
"Unsubscribe from all price alerts","Opzeggen van alle prijsmeldingen"
"Unsubscribe from all stock alerts","Opzeggen van alle voorraadmeldingen"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","U ontvangt dit bericht omdat u zich hebt opgegeven voor meldingen wanneer de volgende producten weer op voorraad zijn:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","U krijgt dit bericht omdat u zich hebt opgegeven voor meldingen wanneer de prijzen van de volgende producten zijn gewijzigd:"
"You will no longer receive price alerts for this product.","Voor dit product ontvangt u niet langer meldingen van prijswijzigingen"
"You will no longer receive stock alerts for this product.","Voor dit product ontvangt u niet langer meldingen van gewijzigde voorraadstatussen"
"You will no longer receive stock alerts.","U ontvangt niet langer meldingen van gewijzigde voorraadstatussen"
