"Add Recipient","Voeg ontvanger toe"
"Allow for Guests","Toestaan voor gasten"
"An invalid email address for recipient was entered.","Een ongeldig e-mailadres voor ontvanger is ingevoerd."
"At least one recipient must be specified.","Er moet minstens een ontvanger worden opgegeven."
"Back","Terug"
"Catalog Product Email to a Friend","Product > E-mailen naar een vriend"
"Email Address","E-mailadres"
"Email Address:","E-mailadres:"
"Email Templates","E-mail sjablonen"
"Email to a Friend","E-mail naar een vriend"
"Email:","E-mail:"
"Enabled","Ingeschakeld"
"Invalid Sender Information","Ongeldige verzendinformatie"
"Invalid sender email.","Ongeldig e-mailadres."
"Limit Sending By","Beperk verzending door"
"Max Products Sent in 1 Hour","Max. producten verzonden in 1 uur"
"Max Recipients","Max. ontvangers"
"Maximum %d email addresses allowed.","Maximum %d e-mailadressen toegestaan."
"Message:","Bericht:"
"Name","Naam"
"Name:","Naam:"
"No more than %d emails can be sent at a time.","Er kunnen niet meer dan %d emails worden verzonden per keer."
"Please define a correct Cookie instance.","Definieer een juiste Cookie-instantie."
"Please define a correct Product instance.","Definieer een juiste Product-instantie."
"Please define the correct Sender information.","Laat correcte verzendinformatie achter a.u.b."
"Recipient:","Ontvanger:"
"Remove Email","Verwijder e-mail"
"Select Email Template","Selecteer e-mail-sjabloon"
"Send Email","Verstuur e-mail"
"Send product to a friend","Verstuur product aan een vriend"
"Sender:","Afzender:"
"Some emails were not sent.","Sommige e-mails zijn niet verzonden."
"The link to a friend was sent.","De link is naar een vriend verzonden."
"The message cannot be empty.","Het bericht kan niet leeg worden verzonden."
"The messages cannot be sent more than %d times in an hour","De berichten kunnen niet meer dan %d keer worden verzonden in een uur"
"The sender name cannot be empty.","De verzendnaam moet worden ingevuld."
"There were some problems with the data.","Er zijn problemen opgetreden met de data."
"You have exceeded limit of %d sends in an hour","U hebt het limiet van %d verzendingen in een uur bereikt"
