"Add","Toevoegen"
"Add gift message for shopping cart","Voeg cadeaubericht toe aan bestelling"
"Add gift messages for quote item of shopping cart","Voeg cadeauberichten toe aan offerte item in winkelwagen"
"Add gift messages to products of shopping cart","Voeg cadeauberichten toe aan producten in winkelwagen"
"Add gift options","Voeg cadeauoptie toe"
"Add gift options for Individual Items","Voeg cadeauopties toe aan individuele items"
"Add gift options for the Entire Order","Voeg cadeauopties toe aan hele bestelling"
"Add gift options.","Voeg cadeauopties toe."
"Allow Gift Messages for Order Items","Cadeauberichten toestaan bij bestelde artikelen"
"Allow Gift Messages on Order Level","Cadeauberichten toestaan bij hele bestelling"
"An error occurred while saving the gift message.","Er is een fout opgetreden bij het opslaan van het cadeaubericht."
"Are you sure?","Weet u het zeker?"
"Cancel","Annuleren"
"Do you have any gift items in your order?","Zitten er cadeau's bij uw bestelling?"
"Edit","Wijzigen"
"From","Van"
"Gift Message","Bericht bij cadeau"
"Gift Message API","Cadeaubericht API"
"Gift Options","Cadeau opties"
"Gift Options for","Cadeau opties voor"
"Gift Options for Individual Items","Cadeau opties voor losse items"
"Gift Options for the Entire Order.","Cadeau opties voor hele bestelling"
"Gift Options for this address.","Cadeau opties voor dit adres"
"Item %d of %d","Artikel %d van %d"
"Message","Bericht"
"No","Nee"
"OK","OK"
"Save Gift Message","Cadeaubericht opslaan"
"The gift message has been removed","Het cadeaubericht is verwijderd."
"The gift message has been saved","Het cadeaubericht is opgeslagen."
"The gift message has been saved.","Het cadeaubericht is opgeslagen."
"To","Tot"
"Unknown entity type","Onbekend entiteittype"
"Use config","Gebruik config"
"Yes","Ja"
"You can leave this box blank if you do not wish to add a gift message for the item.","U kunt het veld leeglaten als u geen cadeaubericht wilt toevoegen aan het artikel."
"You can leave this box blank if you do not wish to add a gift message for this address.","U kunt het veld leeglaten als u geen cadeaubericht wilt toevoegen voor dit adres."
"You can leave this box blank if you do not wish to add a gift message for whole order.","U kunt het veld leeglaten als u geen cadeaubericht wilt toevoegen aan deze bestelling."
