"""%s"" is not available in the requested quantity. %s of the items will be backordered.","""%s"" is niet beschikbaar in de gewenste hoeveelheid. %s items worden als backorder geplaatst."
"%s is available for purchase in increments of %s only.","%s kan enkel gekocht worden in veelvoud van %s."
"%s is available for purchase in increments of %s","%s kan gekocht worden in veelvoud van %s."
"%s is not a correct comparsion method.","% is geen juiste methode voor vergelijken"
"<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart.","Let op! Deze instellingen gelden voor de artikelen, niet voor de hele winkelwagen."
"Add Minimum Qty","Voeg minimum hoeveelheid toe"
"Allow Qty Below 0","Hoeveelheid onder 0 toestaan"
"Allow Qty Below 0 and Notify Customer","Hoeveelheid onder 0 toestaan en klant inlichten"
"Automatically Return Credit Memo Item to Stock","Voeg product toe aan voorraad indien er een creditfactuur is opgesteld."
"Backorders","Backorders"
"By Fixed value","Met vast bedrag"
"By Percentage","Met percentage"
"Cannot specify product identifier for the order item.","Kan geen product identifier specificeren voor het bestelde artikel."
"Catalog Inventory","Catalogus voorraad"
"Decrease Stock When Order is Placed","Verminder voorraad wanneer bestelling is geplaatst"
"Display Out of Stock Products","Toon niet op voorraad producten"
"Enable Qty Increments","Activeer opklimmende aantallen"
"In Stock","Op voorraad"
"Index Product Stock Status","Voorraadstatus"
"Inventory","Voorraad"
"Inventory API","Voorraad API"
"Inventory Section","Sectie Voorraad"
"Manage Stock","Voorraad beheren"
"Maximum Qty Allowed in Shopping Cart","Maximaal hoeveelheid in winkelwagen"
"Minimum Qty","Minimum hoeveelheid"
"Minimum Qty Allowed in Shopping Cart","Minimaal hoeveelheid in winkelwagen"
"No Backorders","Geen backorders"
"Not all products are available in the requested quantity","Niet alle producten zijn beschikbaar in de gewenste hoeveelheid"
"Notify for Quantity Below","Melden bij hoeveelheid lager dan"
"Only X left Threshold","Maar X op voorraad"
"Out of Stock","Niet op voorraad"
"Product Stock Options","Instellingen productvoorraad"
"Qty Increments","Opklimmend aantal"
"Qty for Item's Status to Become Out of Stock","Aantal voordat product niet meer op voorraad is"
"Retrieve stock data","Voorraadgegevens ophalen"
"Retrieve stock data by product ids","Voorraadgegevens via product-ID ophalen"
"Rule price","Regelprijs"
"Set Items' Status to be In Stock When Order is Cancelled","Status wijzigen naar 'Op Voorraad' bij annuleren van order."
"Some of the products are currently out of stock","Enkele  producten zijn momenteel niet op voorraad"
"Some of the products cannot be ordered in requested quantity.","Enkele producten kunnen niet in de gewenste hoeveelheid worden besteld"
"Some of the products cannot be ordered in the requested quantity.","Enkele producten kunnen niet in de gewenste hoeveelheid worden besteld"
"Stock Options","Voorraadopties"
"Stock Status","Voorraadstatus"
"The maximum quantity allowed for purchase is %s.","Het maximale aankoop hoeveelheid is %s."
"The minimum quantity allowed for purchase is %s.","De minimale aankoop hoeveelheid is %s."
"The requested quantity for ""%s"" is not available.","De gewenste hoeveelheid voor ""%s"" is niet beschikbaar."
"The stock item for Product in option is not valid.","De voorraadstatus is ongeldig."
"The stock item for Product is not valid.","De voorraadstatus is ongeldig."
"This product is available for purchase in increments of %s only.","Dit product kan uitsluitend in veelvoud van %s besteld worden."
"This product is currently out of stock.","Dit product is momenteel niet op voorraad"
"This product is not available in the requested quantity. %s of the items will be backordered.","Dit product is niet beschikbaar in de gewenste hoeveelheid. %s items worden als backorder geplaatst."
"To Fixed Value","Tot vast bedrag"
"To Percentage","Naar percentage"
"Undefined product type.","Producttype onbekend."
"Update","Bijwerken"
"Update product stock data","Productvoorraad bijwerken"
"Update the Product","Het product bijwerken"
