"ABN AMRO","ABN AMRO"
"ASN Bank","ASN Bank"
"Fortis","Fortis"
"Friesland Bank","Friesland Bank"
"ING","ING"
"Order will be created using the current payment method.","Bestelling zal worden gemaakt met behulp van de huidige betalingswijze."
"Please, choose your bank:","Gelieve, kies uw bank:"
"Rabobank","Rabobank"
"SNS Bank","SNS Bank"
"SNS Regio Bank","SNS Regio Bank"
"The payment has been canceled","De bestelling is geannuleerd"
"Triodos Bank","Triodos Bank"
"Van Lanschot","Van Lanschot"
"You will be redirected to the Buckaroo in a few seconds.","U wordt doorgestuurd naar de Buckaroo in een paar seconden."
"You will be redirected to the Buckaroo website when you place an order.","U wordt doorgestuurd naar de website van Buckaroo wanneer u een bestelling plaatst."
