"%d Review(s)","%d review(s)"
"%s Review(s)","%s review(s)"
"(Posted on %s)","(Geplaatst op %s)"
"1 star","1 ster"
"2 stars","2 sterren"
"3 stars","3 sterren"
"4 stars","4 sterren"
"5 stars","5 sterren"
"<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>","<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>"
"Add New Review","Nieuwe review toevoegen"
"Add Your Review","Schrijf een review"
"Administrator","Administrator"
"All Reviews","Alle reviews"
"All Reviews of Customer `%s`","Alle reviews van klant `%s`"
"All Reviews of Product `%s`","Alle reviews van product `%s`"
"Allow Guests to Write Reviews","Reviews door gasten toestaan"
"Are you sure you want to do this?","Weet u zeker dat u dit wilt?"
"Are you sure?","Weet u het zeker?"
"Average Customer Rating","Gemiddelde klantwaardering"
"Average Customer Rating:","Gemiddelde klantwaardering:"
"Back","Terug"
"Back to Main Product Info","Terug naar productpagina"
"Back to My Reviews","Terug naar mijn reviews"
"Back to Product Reviews","Terug naar productreviews"
"Be the first to review this product","Schrijf de eerste review over dit product"
"Catalog Product Review View","Product > Review > Bekijk"
"Catalog Product Reviews List","Product > Review > Lijst"
"Created On","Aangemaakt op"
"Customer","Klant"
"Customer My Account Product Reviews","Klant > Mijn Account > Productreviews"
"Customer My Account Review Details","Klant > Mijn Account > Productreviews > Reviewdetails"
"Customer Reviews","Klantenreviews"
"Customers Reviews","Klanten-reviews"
"Delete","Verwijder"
"Delete Review","Review verwijderen"
"Detailed Rating","Gedetailleerde waardering"
"Edit Review '%s'","Review wijzigen '%s'"
"Guest","Gast"
"How do you rate this product?","Hoe waardeert u dit product?"
"ID","Id"
"Manage Ratings","Beheer waarderingen"
"My Product Reviews","Mijn productreviews"
"My Recent Reviews","Mijn recente reviews"
"Name","Naam"
"Name in Store","Naam in winkel"
"New Review","Nieuwe reviews"
"Nickname","Uw naam"
"Nickname can\'t be empty","Nickname mag mag niet leeg zijn."
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Alleen geregistreerde gebruikers kunnen een review plaatsen. U kunt, <a href=""%s"">inloggen</a> of <a href=""%s"">registreren</a>"
"Pending Reviews","Te modereren reviews"
"Pending Reviews of Customer `%s`","Te modereren reviews van klant `%s`"
"Please select a product","Selecteer een product aub"
"Please select one of each of the ratings above","Selecteer een van de waarderingen hierboven"
"Posted By","Geplaatst door"
"Price","Prijs"
"Product","Artikel"
"Product Name","Productnaam"
"Product Rating","Productwaardering"
"Product Rating:","Productwaardering:"
"Product Review (submitted on %s):","Productreview (ingestuurd op %s):"
"Product Reviews","Productreviews"
"Product SKU","Artikelnummer"
"Products Reviews","Reviews"
"Qty","Aantal"
"Rating:","Waardering:"
"Review","Review"
"Review (submitted on %s):","Review (verstuurd op %s):"
"Review Details","Review details"
"Review Form Fields Before","Reviewformulier-velden voor"
"Review by <span>%s</span>","Review door <span>%s</span>"
"Review can\'t be empty","Review is verplicht"
"Review summary can\'t be empty","Review samenvatting is verplicht"
"Reviews and Ratings","Reviews & Waarderingen"
"SKU","Artikelnummer"
"Save Review","Review opslaan"
"Status","Status"
"Submit Review","Review versturen"
"Summary Rating","Samenvatting waardering"
"Summary of Review","Titel van review"
"Summary of Your Review","Titel van uw review"
"Title","Titel"
"Type","Soort"
"Unable to post the review.","Het plaatsen van deze review is niet mogelijk"
"Update Status","Status bijwerken"
"View All Reviews","Alle reviews bekijken"
"View Details","Details bekijken"
"Visible In","Zichtbaar in"
"Websites","Websites"
"Write Your Own Review","Schrijf uw eigen review"
"You have submitted no reviews.","U hebt nog geen reviews geschreven."
"You're reviewing:","U plaatst een review over:"
"Your Rating:","Uw waardering:"
"Your Review (submitted on %s):","Uw review (verstuurd op %s):"
"Your review has been accepted for moderation.","Dank voor uw bijdrage. Uw review is geaccepteerd voor controle op taalgebruik."
