"Update the Product","Het product bijwerken"
"Update product stock data","Productvoorraad bijwerken"
"Update","Update"
"Undefined product type.","Producttype onbekend."
"To Percentage","Naar percentage"
"To Fixed Value","Tot vast bedrag"
"This product is not available in the requested quantity. %s of the items will be backordered.","Dit product is niet beschikbaar in de gewenste hoeveelheid. %s items worden als backorder geplaatst."
"This product is currently out of stock.","Dit product is momenteel niet in voorraad"
"This product is available for purchase in increments of %s only.","Dit product kan uitsluitend in aantallen van %s besteld worden."
"The stock item for Product is not valid.","De voorraadstatus is ongeldig."
"The stock item for Product in option is not valid.","De voorraadstatus is ongeldig."
"The requested quantity is not available.","De gewenste hoeveelheid is niet beschikbaar."
"The requested quantity for %s"" is not available.","De gewenste hoeveelheid voor %s"" is niet beschikbaar."
"The requested quantity for ""%s"" is not available.","De gewenste hoeveelheid voor ""%s"" is niet beschikbaar."
"The minimum quantity allowed for purchase is %s.","De minimale aankoop hoeveelheid is %s."
"The maximum quantity allowed for purchase is %s.","Het maximale aankoop hoeveelheid is %s."
"Stock Status","Voorraadstatus"
"Stock Options","Voorraadopties"
"Some of the products cannot be ordered in the requested quantity.","Enkele producten kunnen niet in de gewenste hoeveelheid worden besteld"
"Some of the products cannot be ordered in requested quantity.","Enkele producten kunnen niet in de gewenste hoeveelheid worden besteld"
"Some of the products are currently out of stock","Enkele  producten zijn momenteel niet in voorraad"
"Set Items' Status to be In Stock When Order is Cancelled","Status wijzigen naar 'In Voorraad' bij annuleren van order."
"Rule price","Regelprijs"
"Retrieve stock data by product ids","Voorraadgegevens via product-ID ophalen"
"Retrieve stock data","Voorraadgegevens ophalen"
"Qty for Items' Status to Become Out of Stock","Hoeveelheid waarbij de status wijzigt in 'Niet in voorraad'"
"Qty Increments","Opklimmend aantal"
"Product Stock Options","Instellingen productvoorraad"
"Out of Stock","Niet in voorraad"
"Only X left Threshold","Maar X op voorraad"
"Notify for Quantity Below","Melden bij hoeveelheid lager dan"
"Not all products are available in the requested quantity","Niet alle producten zijn beschikbaar in de gewenste hoeveelheid"
"No Backorders","Geen backorders"
"Minimum Qty Allowed in Shopping Cart","Minimaal hoeveelheid in winkelwagen"
"Minimum Qty","Minimum hoeveelheid"
"Maximum Qty Allowed in Shopping Cart","Maximaal hoeveelheid in winkelwagen"
"Manage Stock","Voorraad beheren"
"Inventory API","Voorraad API"
"Inventory Section","Sectie Voorraad"
"Index Product Stock Status","Voorraadstatus opnieuw indexeren"
"Inventory","Voorraad"
"Enable Qty Increments","Activeer opklimmende aantallen"
"In Stock","In voorraad"
"Decrease Stock When Order is Placed","Verminder voorraad wanneer bestelling is geplaatst"
"Catalog Inventory","Catalogus voorraad"
"Cannot specify product identifier for the order item.","Kan geen product identifier specificeren voor het bestelde artikel."
"By Percentage","Met percentage"
"By Fixed value","Met vast bedrag"
"Backorders","Backorders"
"Automatically Return Credit Memo Item to Stock","Voeg product toe aan voorraad indien er een creditfactuur is opgesteld."
"Allow Qty Below 0 and Notify Customer","Hoeveelheid onder 0 toestaan en klant inlichten"
"Allow Qty Below 0","Hoeveelheid onder 0 toestaan"
"Add Minimum Qty","Voeg minimum hoeveelheid toe"
"<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart.","Let op! Deze instellingen gelden voor de artikelen, niet voor de hele winkelwagen."
"%s is not a correct comparsion method.","% is geen juiste methode voor vergelijken"
"""%s"" is not available in the requested quantity. %s of the items will be backordered.","""%s"" is niet beschikbaar in de gewenste hoeveelheid. %s items worden als backorder geplaatst."
"%s is not available in the requested quantity. %s of the items will be backordered.","%s"" is niet beschikbaar in de gewenste hoeveelheid. %s items worden als backorder geplaatst."
"The requested quantity for %s is not available.","De gewenste hoeveelheid voor %s"" is niet beschikbaar."
"%s is not correct comparsion method.","% is geen juiste methode voor vergelijken"
"<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart.","Let op! Deze instellingen gelden voor de artikelen, niet voor de hele winkelwagen."
"Can not specify product identifier for order item","Kan geen product identifier specificeren voor het bestelde artikel."
"Some of the products can not be ordered in requested quantity","Enkele producten kunnen niet in de gewenste hoeveelheid worden besteld"
"Some of the products cannot be ordered in the requested quantity","Enkele producten kunnen niet in de gewenste hoeveelheid worden besteld"
"Stock item for Product in option is not valid","Voorraadartikel voor gekozen product is niet geldig"
"Stock item for Product is not valid","Voorraadartikel voor product is niet geldig"
"Display Out of Stock Products","Toen niet op voorraad producten"
