"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s a été ajouté à votre liste d'envies. Cliquez <a href=""%2$s"">ici</a> pour continuer vos achats."
"%d product(s) have been added to shopping cart: %s.","%d produits ont été ajoutés à votre panier : %s."
"%s's Wishlist","Liste d'envies de %s"
"* Required Fields","* Champs obligatoires"
"Add All to Cart","Tout ajouter au panier"
"Add to Cart","Ajouter au panier"
"Add to Wishlist","Ajouter à la liste d'envies"
"Added On","Ajouté le"
"An error occurred while adding item to wishlist.","Erreur lors de l'ajout de produit à votre liste d'envies."
"An error occurred while adding item to wishlist: %s","Erreur lors de l'ajout de produit à la liste d'envies : %s."
"An error occurred while deleting the item from wishlist.","Erreur lors de la suppression de produit à votre liste d'envies."
"An error occurred while deleting the item from wishlist: %s","Erreur lors de la suppression de produit à la liste d'envies : %s."
"Are you sure you want to remove this product from your wishlist?","Êtes-vous sûr(e) de vouloir enlever ce produit de votre liste d'envies ?"
"Are you sure you would like to remove this item from the wishlist?","Êtes-vous sûr(e) de vouloir enlever cet article de votre liste d'envies ?"
"Back","Retour"
"Can\'t save description %s","Impossible de sauvegarder la description %s"
"Can\'t update wishlist","Impossible de mettre à jour la liste d'envies."
"Cannot add item to shopping cart","Impossible d'ajouter l'article au panier"
"Cannot add the item to shopping cart.","Impossible d'ajouter le produit au panier"
"Cannot create wishlist.","Impossible de créer la liste d'envies"
"Cannot specify product.","Impossible de spécifier le produit"
"Cannot specify wishlist.","Impossible de spécifier la liste d'envies"
"Cannot update wishlist","Impossible de mettre à jour la liste d'envies"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Cochez cette case si vous souhaitez ajouter un lien vers un flux RSS vers votre liste d'envies"
"Comment","Commentaire"
"Comment:","Commentaire :"
"Customer My Account My Wishlist","Liste d'envies du compte client"
"Customer My Account Wishlist Sharing Form","Formulaire de partage de liste d'envies"
"Customer Shared Wishlist View","Vue de liste d'envies partagée"
"Email Sender","Expéditeur du mail"
"Email Template","Gabarit du mail"
"Email address can\'t be empty.","L'email ne peut pas être vide."
"Email addresses, separated by commas","Adresses email, séparées par des virgules"
"Enabled","Activé"
"General Options","Options générales"
"Go to Wishlist","Aller à la liste d'envies"
"Last Added Items","Derniers articles ajoutés"
"Message","Message"
"My Wishlist","Ma liste d'envies"
"My Wishlist (%d item)","Ma liste d'envies (%d article)"
"My Wishlist (%d items)","Ma liste d'envies (%d articles)"
"My Wishlist <small>(%d)</small>","Ma liste d'envies <small>(%d)</small>"
"Out of stock","Épuisé"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Saisissez une liste d'adresses email valides, séparées par des virgules. Par exemple, jeandupond@domaine.com, martindupond@domaine.com"
"Please input a valid email address.","Saisissez un email valide."
"Please, enter your comments...","Saisissez vos commentaires..."
"Product","Produit"
"Product(s) %s are grouped. Each of them can be added to cart separately only.","Les produits %s sont groupés. Ils ne peuvent être ajoutés au panier que séparément."
"Product(s) %s have required options. Each of them can be added to cart separately only.","Les produits %s ont des options obligatoires. Ils ne peuvent être ajoutés au panier que séparément."
"RSS Feed","Flux RSS"
"RSS link to %s's wishlist","Flux RSS de la liste d'envies de %s"
"Remove Item","Supprimer l'article"
"Remove This Item","Supprimer cet élément"
"Remove item","Retirer l'article"
"Share Options","Options de partage"
"Share Wishlist","Partager la liste d'envies"
"Share Your Wishlist","Partagez votre liste d'envies"
"Sharing Information","Information de partage"
"This product(s) is currently out of stock","Ce produit est momentanément épuisé"
"Unable to add the following product(s) to shopping cart: %s.","Impossible d'ajouter au panier les produits suivants : %s."
"Update Wishlist","Mettre à jour"
"View Product","Voir produit"
"Wishlist","Liste d'envies"
"Wishlist Section","Section liste d'envies"
"Wishlist Sharing","Partage de liste d'envies"
"Wishlist is empty now.","La liste d'envies est vide maintenant."
"You have no items in your wishlist.","Vous n'avez pas d'article dans votre liste d'envies."
"Your Wishlist has been shared.","Votre liste d'envies a été partagée."
"%1$s has been updated in your wishlist.","%1$s a été mis à jour dans votre liste d'envies."
"%s for ""%s"".","%s pour ""%s""."
"Add to Compare","Ajouter au comparateur"
"Added From","Ajouté depuis"
"An error occurred while updating wishlist.","Erreur lors de la mise à jour de la liste d'envies."
"Can't delete item from wishlist","Impossible d'enlever l'article de la liste d'envies."
"Can't save description %s","Impossible d'enregistrer la description %s"
"Can't update wishlist","Impossible de mettre à jour la liste d'envies"
"Cannot configure product","Impossible de configurer le produit"
"Cannot load wishlist item","Impossible de charger l'article de la liste d'envies"
"Cannot specify wishlist item.","Impossible de spécifier l'article de la liste d'envies."
"Configure Wishlist Item","Configurer l'article de la liste d'envies"
"Configured Price:","Prix de cette configuration :"
"Date Added","Date d'ajout"
"Days in Wishlist","Jours dans la liste d'envies"
"Display Wishlist Summary","Afficher le résumé de la liste d'envies"
"Edit","Éditer"
"Email address can't be empty.","L'adresse email ne peut pas être vide."
"Helper for wishlist options rendering doesn't implement required interface.","Le helper utilisé pour le rendu des options de liste d'envies n'implémente pas l'interface requise."
"My Wishlist Link","Lien vers ma liste d'envies"
"Options Details","Détails des options"
"User description","Description utilisateur"
"View Details","Voir les détails"
"Click for price","Cliquez pour afficher le prix"
"What's this?","Qu'est-ce que c'est ?"
"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping.","%1$s a été ajouté à votre liste d'envies. <a href=""%2$s"">Cliquez ici</a> pour continuer vos achats."
"%s has been moved to wishlist %s","%s a été déplacé dans votre liste d'envies %s"
