"A4","A4"
"Add your custom comments here to appear at the bottom of the Creditmemo Print-out","Voeg hier uw eigen commentaar toe dat onderaan de creditfactuur wordt geprint"
"Add your custom comments here to appear at the bottom of the Invoice Print-out. You could for example include bank account number and terms of payment.","Voeg hier uw eigen commentaar toe dat onderaan de factuur wordt geprint, bijvoorbeeld uw bankrekeningnummer en betalingsvoorwaarden"
"Add your custom comments here to appear at the bottom of the Order Print-out.","Voeg hier uw eigen commentaar toe dat onderaan de orderbevestiging wordt geprint "
"Add your custom comments here to appear at the bottom of the Shipment Print-out","Voeg hier uw eigen commentaar toe dat onderaan de pakbon wordt geprint"
"Background Image for PDF Print-outs","Achtergrondafbeelding voor PDF Print-outs"
"Billing Address only","Alleen factuuradres"
"Both Addresses","Beide adressen"
"Bottom Margin","Marge onderkant"
"Choose Helvetica, Times or Courier for smaller filesizes. Choose the Dejavu-Variants to support more characters (UTF-8).","Kies Helvetica, Times of Courier om het bestand klein te houden. Kies Dejavu-lettertypes voor ondersteuning van meer tekens (UTF-8)."
"Copy the contents of your certificate/signature file including your private key here. Include everything from -----BEGIN RSA PRIVATE KEY----- to -----END CERTIFICATE-----","Kopieer de inhoud van uw certificaat/handtekening-bestand inclusief uw priv&eacute;-sleutel hier. Kopieer alles van -----BEGIN RSA PRIVATE KEY----- tot -----END CERTIFICATE-----"
"Courier","Courier"
"Credit Memo Title","Titel creditfactuur"
"Custom Text","Aangepaste tekst"
"Customer Address Format","Opmaak Adres Klant"
"DejaVuSans","DejaVuSans"
"DejaVuSansMono","DejaVuSansMono"
"DejaVuSerif","DejaVuSerif"
"Delivery Date","Afleverdatum"
"Digitally Sign PDF","PDF digitaal ondertekenen"
"Display","Tonen"
"Display Base and Order Currency","Toon Basis en Order Valuta"
"Display Delivery Date","Toon Afleverdatum"
"Display Email Address","Toon e-mail adres"
"Display Quantity as full number","Toon hoeveelheid als heel getal"
"Display Row Total Including Tax","Toon Rij Totaal Inclusief Btw"
"Display Total Weight","Toon Totaal Gewicht"
"Display only one Grand Total","Geef enkel een Totaal weer"
"Displays as part of the billing address.","Weergave als een deel van het factuuradres."
"Displays the date of the invoice again. Needed in some jurisdictions.","Toont nogmaals de factuurdatum. Noodzakelijk in sommige rechtsgebieden."
"Double - Both Addresses","Dubbel - Beide Adressen"
"Double - Shipping and Return Addresses","Zowel Verzend- als retouradres"
"European","Europees"
"Font","Lettertype"
"Font Size","Tekengrootte"
"Footer Block 1","Footer Blok 1"
"Footer Block 2","Footer Blok 2"
"Footer Block 3","Footer Blok 3"
"Footer Block 4","Footer Blok 4"
"Grand Total is tax inclusive","Totaal is inclusief Btw"
"Helvetica","Helvetica"
"Invoice Title","Titel factuur"
"Logo Height","Hoogte Logo"
"Logo Width","Breedte Logo"
"Logo for the PDF Print-outs","Logo voor de PDF Uitdraaien"
"Logo top-left Corner from the left","Logo linker-bovenhoek van de linkerzijde"
"Logo top-left Corner from the top","Logo linker-bovenhoek van de bovenzijde"
"None","Geen"
"PDF Customiser by Fooman","PDF Customiser van Fooman"
"Page Size","Paginaformaat"
"Password of Signature","Wachtwoord van Handtekening"
"Placement of Logo","Plaatsen van Logo"
"Print Order History with Comments","Druk Bestelgeschiedenis af Incl. Commentaar"
"Print Order as Packing Slip","Print Order als Pakbon"
"Product Image","Productafbeelding"
"Return Address","Retouradres"
"SKU Barcode","Barcode van artikel"
"Shipment Title","Titel verzending"
"Shipping Address only","Alleen verzendadres"
"Side Margins","Marge zijkant"
"Signature","Handtekening"
"Single - Billing Address Label","Enkel - Etiket Factuuradres"
"Single - Shipping Address Label","Enkel - Etiket Verzendadres"
"Store Address","Winkeladres"
"THSarabunPSK (Thai)","THSarabunPSK (enkel voor Thailand)"
"Tax Details","Belastinggegevens"
"Times New Roman","Times New Roman"
"Top Margin","Marge bovenkant"
"Total Weight","Totaal Gewicht"
"US","V.S."
"Use Integrated Labels","Gebruik Geïntegreerde Etiketten"
"Use this option if you would like to print packing slips without having to create shipments. You will however loose the ability to print the packing slips with the shipment number (the order number is used instead).","Gebruik deze optie als u direct pakbonen wilt uitdraaien zonder eerst een verzending aan te maken. Echter met deze optie ingeschakeld kunt u geen pakbonnen uitdraaien met het verzendnummer erop. (In plaats daarvan wordt het ordernummer gebruikt.)"
"Which addresses should appear on the Credit Memo? Please note that downloadable product orders don't have a shipping address.","Welke adressen moeten er verschijnen op de creditfactuur? (Let op: bestellingen van downloadbare producten hebben geen verzendadres.)"
"Which addresses should appear on the invoice? Please note that downloadable product orders don't have a shipping address.","Welke adressen moeten er verschijnen op de factuur? (Let op: bestellingen van downloadbare producten hebben geen verzendadres.)"
"Which addresses should appear on the order? Please note that downloadable product orders don't have a shipping address.","Welke adressen moeten er verschijnen op de orderbevestiging? (Let op: bestellingen van downloadbare producten hebben geen verzendadres.)"
"Which addresses should appear on the packing slip? Please note that downloadable product orders don't have a shipping address.","Welke adressen moeten er verschijnen op de pakbon? (Let op: bestellingen van downloadbare producten hebben geen verzendadres.)"
"automatic","automatisch"
"in milimeters","in milimeters"
"is only effective if Tax > Orders, Invoices, Creditmemos Display Settings > Prices is set to not display taxes","wordt enkel toegepast indien Btw> Orders, Facturen, Creditnota's Weergaveinstellingen> Prijzen zijn ingesteld zonder weergave Btw"
"kg","kilo"
"letter","brief"
"manual","handmatig"
"no-scaling","niet-geschaald"
