"# of Use","kan # gebruikt worden"
"%1$s incl tax.","%1$s incl. BTW"
"%s - %s","%s - %s"
"%s Item(s)","%s artikel(en)"
"%s and above","%s en daar boven"
"(%d)","(%d)"
"(Copy data from: %s)","(Data kopi&euml;ren van: %s)"
"* Required Fields","* Verplichte velden"
"-- Please Select --","-- Selecteer a.u.b. --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 als standaard. Handmatig vernieuwen middels cache beheer."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Waarschuwing!</strong> Het gebruik van de minimum verkoopprijs zal alle productprijzen in de frontend verbergen."
"A group with the same name already exists.","Een groep met dezelfde naam bestaat reeks"
"A name is required","Een naam is verplicht"
"A product type is not defined for the indexer.","Een producttype is niet opgegeven"
"ALL GROUPS","ALLE GROEPEN"
"AM","AM"
"Action","Actie"
"Actual Price","Actuele prijs"
"Add","Toevoegen"
"Add Attribute","Attribuut toevoegen"
"Add Design Change","Design-wijziging toevoegen"
"Add Group","Groep toevoegen"
"Add Group Price","Groep-prijs toevoegen"
"Add New","Nieuwe toevoegen"
"Add New Attribute","Nieuw attribuut toevoegen"
"Add New Attribute Set","Nieuwe attributenset toevoegen"
"Add New Group","Nieuwe groep toevoegen"
"Add New Images","Nieuwe afbeeldingen toevoegen"
"Add New Option","Nieuwe optie toevoegen"
"Add New Row","Nieuwe rij toevoegen"
"Add New Search Term","Nieuwe zoekterm toevoegen"
"Add New Set","Nieuwe set toevoegen"
"Add Product","Product toevoegen"
"Add Product To Websites","Product aan websites toevoegen"
"Add Root Category","Root-categorie toevoegen"
"Add Subcategory","Subcategorie toevoegen"
"Add Tax","BTW toevoegen"
"Add Tier","Staffel toevoegen"
"Add attribute into attribute set","Voeg attribuut toe aan attribuut-set"
"Add group into attribute set","Voeg groep toe aan attribuut-set"
"Add new custom option into product","Voeg nieuwe custom-optie to aan product"
"Add new values into custom option","Voeg nieuwe waarden toe aan custom-optie"
"Add option","Voeg optie toe"
"Add to Cart","In winkelwagen"
"Add to Compare","Voeg toe aan productvergelijking"
"Add to Wishlist","Zet op verlanglijst"
"Additional Information","Extra informatie"
"Alert Urls","Alert URL"
"All","Alle"
"All Product Types","Alle productsoorten"
"All Websites","Alle websites"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Alle producten van deze set worden verwijderd! Weet u zeker dat u deze attributenset wil verwijderen?"
"Allow All Products per Page","Alle producten per pagina toestaan"
"Allow Dynamic Media URLs in Products and Categories","Dynamische URL's voor producten en categorieen toestaan"
"Allow HTML Tags on Frontend","HTML opmaak in frontend toestaan"
"Allowed File Extensions","Toegestane bestandstypes"
"Allowed file extensions to upload","Toegestane bestandstypes"
"An error occurred while adding products to websites.","Er heeft zich een fout voorgedaan bij het toevoegen van producten aan de website"
"An error occurred while clearing comparison list.","Er heeft zich een fout voorgedaan bij het opschonen van de vergelijkingslijst"
"An error occurred while deleting this review.","Er heeft zich een fout voorgedaan bij het verwijderen van deze review."
"An error occurred while removing products from websites.","Er heeft zich een fout voorgedaan bij het verwijderen van producten van de website"
"An error occurred while saving the URL rewrite","Er heeft zich een fout voorgedaan bij het opslaan van de URL-herschrijving"
"An error occurred while saving the attribute set.","Er heeft zich een fout voorgedaan bij het opslaan van de attribuutset"
"An error occurred while saving the collection, aborting. Error message: %s","Er heeft zich een fout voorgedaan bij het opslaan. Bericht: %s"
"An error occurred while saving the product. ","Er heeft zich een fout voorgedaan bij het opslaan van het product."
"An error occurred while saving the search query.","Er heeft zich een fout voorgedaan bij het opslaan van de zoekopdracht"
"An error occurred while saving this group.","Er heeft zich een fout voorgedaan bij het opslaan van deze groep"
"An error occurred while saving this review.","Er heeft zich een fout voorgedaan bij het opslaan van deze review."
"An error occurred while trying to delete the category.","Er heeft zich een fout voorgedaan bij het verwijderen van de categorie"
"An error occurred while updating the product(s) attributes.","Er heeft zich een fout voorgedaan bij het bijwerken van de product attributen"
"An error occurred while updating the product(s) status.","Er heeft zich een fout voorgedaan bij het bijwerken van de product status"
"An invalid group ID is specified, skipping the record.","Een ongeldig groep-ID is opgegeven, record wordt overgeslagen."
"An invalid option ID is specified for %s (%s), skipping the record.","Een ongeldige optie is opgegeven voor %s (%s). Item wordt overgeslagen"
"An invalid store was specified.","Er is een ongeldige winkel opgegeven"
"Anchor Custom Text","Eigen Link Tekst"
"Anchor Custom Title","Eigen Link Titel"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Alleen van toepassing op producten en categorieën. Alle media zal worden ingevoegd in de editor als statische URL. Deze wordt niet geupdate als de systeem URL aangepast wordt."
"Apply MAP (Default Value)","Minimum verkoopprijs toepassen"
"Apply To","Toepassen op"
"Approved","Goedgekeurd"
"Are you sure you want to delete this category?","Weet u zeker dat u deze categorie wilt verwijderen?"
"Are you sure you would like to remove all products from your comparison?","Weet u zeker dat u alle producten uit uw vergelijking wilt verwijderen?"
"Are you sure you would like to remove this item from the compare products?","Weet u zeker dat u dit artikel wilt verwijderen van vergelijklijst?"
"Are you sure?","Weet u het zeker?"
"As low as:","Vanaf"
"Assign","Toewijzen"
"Assign product link","Productlink toewijzen"
"Assign product to category","Product aan categorie toewijzen"
"Assigned Products","Toegewezen producten"
"Associated Products","Gerelateerde producten"
"Attrib. Set Name","Attributenset"
"Attribute ""%s"" is invalid.","Attribuut ""%s"" is ongeldig."
"Attribute ""%s"" is required.","Attribuut ""%s"" is verplicht."
"Attribute Information","Attribuutgegevens"
"Attribute Model","Attribuutmodel"
"Attribute Name:","Attribuutnaam:"
"Attribute Set","Attributenset"
"Attribute Sets","Attribuut-sets"
"Attribute add","Attribuut toeveogen"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribuut-code is ongeldig. Gebruik alleen letters (a-z), cijfers (0-9) of underscores (_) in dit veld. Eerste karakter moet een letter zijn."
"Attribute group with the \""/name/\"" name already exists","Attribuut-groep met de \""/naam/\"" bestaat al"
"Attribute remove","Verwijder attribuut"
"Attribute with the same code already exists","Attribuut met dezelfde code bestaat al"
"Attributes","Attributen"
"Attrribute names can be specified per store.","Attribuutnamen kunnen per winkel opgegeven worden."
"Autogenerate","Automatisch genereren"
"Availability:","Beschikbaarheid:"
"Back","Terug"
"Backend Model","Backend-model"
"Backend Table","Backend-tabel"
"Backend Table Title","Titel backend-tabel"
"Backorders","Backorders"
"Based On","Gebaseerd op"
"Before Order Confirmation","Voorafgaand aan orderbevestiging"
"Best Value","Beste waarde"
"Block after Info Column","Blok na info-kolom"
"Bottom Block Options Wrapper","Onderste Blok Opties Omslag"
"Bottom/Left","Onder/links"
"Bottom/Right","Onder/rechts"
"Browse By","Blader door"
"Bundle Items","Bundel-artikelen"
"Buy %1$s","Koop %1$s"
"Buy %1$s for","Koop %1$s voor"
"Buy %1$s for %2$s","Bestel %1 voor %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Koop %1$s voor %2$s (%3$s incl. BTW) per stuk."
"Buy %1$s for %2$s each","Koop %1$s voor %2$s per stuk."
"Cache Lifetime (Seconds)","Cache Lifetime (in seconden)"
