"%s is not supported currency.","%s is een niet ondersteunde valuta"
"Accept","Accepteren"
"Basic","Basis"
"Cannot retreive rate from strikeirion.","Cannot retreive rate from strikeirion"
"Cannot retrieve rate from %s to %s","Kan verzendkosten van %s naar %s niet berekenen."
"Check all email servers","Controleer alle e-mail servers"
"Complete","Voltooid"
"Country/Region/Postal code combination","Combinatie van land, regio en postcode"
"Customer Tax Class","BTW-tariefgroep klant"
"Email Verification","E-mail verificatie"
"Email address cannot be verified. Please check again and make sure your email address entered correctly.","E-mail adres kan niet geverifieerd worden. Controleer opnieuw en kijk of u uw e-mailadres goed heeft ingevuld."
"Enable US address verification","Schakel verificatie voor Amerikaanse adressen in"
"Enable email verification","Schakel email verificatie in"
"Enable foreign exchange rate","Activeer buitenlandse wisselkoers"
"Enable global address verification","Activeer wereldwijde adresverificatie"
"Enable sales and use tax","Activeer verkoop en gebruik belasting"
"Error Email Recipient","Fout e-mail-ontvanger"
"Error Email Sender","Fout e-mail-afzender"
"Error Email Template","Fout e-mail-sjabloon"
"Error address action","Adres onjuist"
"Foreign Exchange Rates","Buitenlandse wisselkoersen"
"Global Address Verification","Algemene adresverificatie"
"If type is complete and zip code belongs to multiple tax rates, choose to charge minimum tax rate or maximum tax rate.","Wanneer het type compleet is en de postcode meerdere belastingpercentages kent, kies dan om het minimale of maximale belastingpercentage te berekenen."
"Invalid email address","Ongeldig e-mailadres"
"Maximum tax rate","Maximum BTW percentage"
"Minimum tax rate","Minimum BTW percentage"
"Password","Wachtwoord"
"Pop up warning and accept","Pop-up waarschuwing en accepteer"
"Product Tax Class","BTW-tariefgroep product"
"Reject","Weigeren"
"Sales and Use Tax","Verkoop- en verbruiksbelasting"
"Sales and Use Tax Type","Verkoop en gebruik belastingtype"
"Strikeiron","Strikeiron"
"Strikeiron Config","Strikeiron Configuratie"
"Strikeiron Section","Strikeiron Sectie"
"Strikeiron foreign exchange rate is disabled","Buitenlandse wisselkoers voor Strikeiron is uitgeschakeld"
"Tax","BTW"
"There is an error in retrieving tax rate. Please contact us","Er is een fout bij het verkrijgen van het belastingpercentage. Neem contact met ons op"
"There is an error in verifying an email. Please contact us.","Er is een fout bij het verifiëren van het e-mailadres. Neem contact met ons op."
"There is no more hits remaining for the foreign Exchange Rate Service.","Er resteren geen hits meer voor de buitenlandse wisselkoersservice."
"There is no response back from Strikeiron server","De Strikeiron server reageert niet"
"US Address Verification","V.S. adres verificatie"
"Undetermined email action","Email actie niet gekend"
"Use","Gebruik"
"User ID","Gebruiker-ID"
"Verify address in admin","Controleer adres in admin"
"Verify email in admin","Controleer e-mail in admin"
