"""%s"" is not available in the requested quantity. %s of the items will be backordered.","""%s"" is niet beschikbaar in de gewenste hoeveelheid. %s items worden als nalevering (backorder) geplaatst."
"%s is available for purchase in increments of %s only.","%s kan enkel in veelvoud van %s gekocht worden."
"%s is available for purchase in increments of %s","%s kan in veelvoud van %s gekocht worden."
"%s is not a correct comparsion method.","% is geen juiste vergelijkingsmethode."
"<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart.","Let op! Deze instellingen gelden voor de winkelwagen artikelregels, niet voor de hele winkelwagen."
"Add Minimum Qty","Toevoegen minimum hoeveelheid"
"Allow Qty Below 0","Toestaan hoeveelheid minder dan 0"
"Allow Qty Below 0 and Notify Customer","Toestaan hoeveelheden lager dan 0 en klant inlichten"
"Automatically Return Credit Memo Item to Stock","Automatisch retouren terug op voorraad zetten"
"Backorders","Nabestellingen"
"By Fixed value","Op basis van vaststaand bedrag"
"By Percentage","Op basis van percentage"
"Cannot specify product identifier for the order item.","Kan geen productkenmerk voor het order item specificeren.."
"Catalog Inventory","Catalogusvoorraad"
"Decrease Stock When Order is Placed","Afname voorraadpeil bij plaatsen bestelling"
"Display Out of Stock Products","Weergeven bij producten 'niet op voorraad'"
"Enable Qty Increments","Inschakelen hoeveelheid toename"
"In Stock","Op voorraad"
"Index Product Stock Status","Index voorraadpeil"
"Inventory","Voorraad"
"Inventory API","Voorraad API"
"Inventory Section","Voorraadsectie"
"Manage Stock","Voorraadbeheer"
"Maximum Qty Allowed in Shopping Cart","Maximum hoeveelheid toegestaan in winkelwagen"
"Minimum Qty","Minimum hoeveelheid"
"Minimum Qty Allowed in Shopping Cart","Minimum hoeveelheid toegestaan in winkelwagen"
"No Backorders","Geen nabestellingen"
"Not all products are available in the requested quantity","Niet alle producten zijn beschikbaar in de gewenste hoeveelheid"
"Notify for Quantity Below","Melden bij hoeveelheid lager dan"
"Only X left Threshold","Grens voor 'Nog slechts X beschikbaar' melding"
"Out of Stock","Niet op voorraad"
"Product Stock Options","Productinventaris instellingen"
"Qty Increments","Hoeveelheid toename"
"Qty for Item's Status to Become Out of Stock","Aantal benodigd voor product 'niet meer op voorraad' gezet wordt"
"Retrieve stock data","Voorraadgegevens ophalen"
"Retrieve stock data by product ids","Voorraadgegevens via productsleutels ophalen"
"Rule price","Regelprijs"
"Set Items' Status to be In Stock When Order is Cancelled","Voorraadstatus wijzigen naar 'Op Voorraad' bij annuleren en terugboeken van bestelling"
"Some of the products are currently out of stock","Enkele producten zijn momenteel niet op voorraad"
"Some of the products cannot be ordered in requested quantity.","Enkele producten kunnen niet in de gewenste hoeveelheid worden besteld"
"Some of the products cannot be ordered in the requested quantity.","Enkele producten kunnen niet in de gewenste hoeveelheid worden besteld"
"Stock Options","Voorraadinstellingen"
"Stock Status","Voorraadoverzicht"
"The maximum quantity allowed for purchase is %s.","De maximum hoeveelheid toegestaan om aan te kopen is %s."
"The minimum quantity allowed for purchase is %s.","De minimale hoeveelheid toegestaan om aan te kopen is %s."
"The requested quantity for ""%s"" is not available.","De gewenste hoeveelheid voor ""%s"" is niet beschikbaar."
"The stock item for Product in option is not valid.","Het voorraadonderdeel voor product in optie is niet geldig."
"The stock item for Product is not valid.","Het voorraadonderdeel voor product is niet geldig."
"This product is available for purchase in increments of %s only.","Dit product is slechts beschikbaar voor aankoophoeveelheden in veelvoud van %s."
"This product is currently out of stock.","Dit product is momenteel niet op voorraad"
"This product is not available in the requested quantity. %s of the items will be backordered.","Dit product is niet beschikbaar in de gewenste hoeveelheid. %s items worden als nalevering geplaatst."
"To Fixed Value","Tot vaste waarde"
"To Percentage","Tot percentage"
"Undefined product type.","Ongedefinieerd producttype"
"Update","Bijwerken"
"Update product stock data","Bijwerken inventarisgegevens"
"Update the Product","Bijwerken van product"
"Display products availability in stock in the frontend","Weergeven product beschikbaarheid op voorraad aan voorzijde"
"Multi update product stock data","Meervoudig bijwerken gegevens productinventaris"
"Products will still be shown by direct product URLs.","Producten zullen nood steeds getoond worden bij een directe product-URL"
"Some of the products are currently out of stock.","Enkele van de producten zijn op dit moment uitverkocht."
