"Email Template Adapter","E-mail Sjabloon Adapter"
"Outer Container","Buitenste Container"
"Divide Outer Container on this line","Deel buitenste container in twee&euml;n op deze regel"
"Outer Container Html","Buitenste Container Html"
"Header","Header"
"Header Starts Here","Header Start Hier"
"Header Html","Header Html"
"Middle","Midden"
"Divide Middle Container on this line","Deel de Midden Container in twee&euml;n op deze regel"
"Middle Container Html","Midden Container Html"
"Middle Starts Here","Midden Start Hier"
"Footer","Footer"
"Footer Html","Footer Html"
"Additional Variables","Extra Variabelen"
"Custom 1","Aangepaste optie 1"
"Custom 2","Aangepaste optie 2"
"Custom 3","Aangepaste optie 3"
"Custom 4","Aangepaste optie 4"
"Custom 5","Aangepaste optie 5"
"System Variables","Systeem Variabelen"
"Additional configuration settings to load, separate by comma, semi-colon or new line. Write 'trans_email/ident_general/email' above and '{{var email_template_adapter.trans_email_ident_general_email}}' in the email template.","Extra configuratiewaarden, gescheiden door komma, puntkomma of nieuwe regel. Vul hierboven 'trans_email/ident_general/email' in om deze als '{{var email_template_adapter.trans_email_ident_general_email}}' in het e-mail sjabloon te kunnen gebruiken."
"Allow Sending Templates","Templates Verzenden Toestaan"
"Allow the following transactional emails to be sent","De geselecteerde e-mails mogen verzonden worden"
"Disallowing will cause errors when trying to send. These settings are applicable on the default templates.","Het proberen te verzenden van een niet toegestaan sjabloon kan fouten veroorzaken. Deze instellingen zijn alleen van toepassing op de standaard sjablonen."
"Email not sent because the email template is not allowed to be sent. (Email Template Adapter Extension Settings)","E-mail niet verzonden omdat het sjabloon niet verzonden mag worden. (E-mail Sjabloon Adapter Extensie Instellingen)"
"Enable Email Template Adapter","E-mail Sjabloon Adapter Inschakenen"
"Enable Filtering","Filter Inschakelen"
