"To Date","A fecha"
"Actions","Acciones"
"Active","Activo"
"Update the Product","Actualizar el producto"
"Update prices using the following information","Actualizar precios usando la siguiente información"
"Update product's %s %s: %s","Actualizar producto's %s %s: %s"
"Add New Rule","Agregar nueva regla"
"Apply","Aplicar"
"Apply to","Aplicar a"
"Apply the rule to cart items matching the following conditions","Aplicar la regla a los artículos del carrito que cumplan las siguientes condiciones"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Aplicar la regla sólo a los artículos del carrito que cumplan las siguientes condiciones (dejar en blanco para todos los artículos)"
"Apply the rule only if the following conditions are met (leave blank for all products)","Aplicar la regla sólo si se dan las siguientes condiciones (dejar en blanco para todos los productos)"
"Cart Attribute","Atributo del carrito"
"Delete Rule","Borrar la regla"
"Expire at: %s","Caduca el: %s"
"Total Items Quantity","Cantidad de artículos totales"
"Quantity in cart","Cantidad en el carrito"
"Catalog","Catálogo"
"Coupon code","Código del cupón"
"Coupon Code","Código del Cupón"
"Shipping Postcode","Código postal de envío"
"Customer registered: %s","Cliente registrado: %s"
"Product attribute combination","Combinación de atributos del producto"
"Conditions combination","Combinación de condiciones"
"Buy X get Y free (discount amount is Y)","Compre X y consiga Y gratis (el importe del descuento es Y)"
"Conditions","Condiciones"
"Description","Descripción"
"Description: %s","Descripción: %s"
"From Date","Desde fecha"
"Stop further rules processing","Detener el procesamiento de las reglas"
"Edit Rule","Editar la regla"
"Edit Rule '%s'","Editar la regla '%s'"
"Customer is new buyer: %s","El cliente es un nuevo comprador: %s"
"Start at: %s","Empieza en: %s"
"Free shipping","Envío gratuito"
"This rule no longer exists","Esta regla ya no existe"
"Status","Estado"
"Shipping State/Province","Estado/Provincia de envío"
"Date Expire","Fecha de caducidad"
"Date Start","Fecha de inicio"
"Customer Groups","Grupos de cliente"
"Save Rule","Guardar la regla"
"ID","ID"
"Discount amount","Importe del descuento"
"Fixed amount discount","Importe fijo del descuento"
"Fixed amount discount for whole cart","Importe fijo del descuento para todo el carrito"
"Unable to find a page to delete","Imposible encontrar una página para borrar"
"Inactive","Inactivo"
"Rule Information","Información de la regla"
"General Information","Información general"
"Maximum Qty Discount is Applied to","La cantidad máxima del descuento se aplica a"
"The page you are trying to save no longer exists","La página que usted desea guardar ya no existe"
"Rule was successfully deleted","La regla ha sido borrada satisfactoriamente"
"Rule was successfully saved","La regla ha sido guardada satisfactoriamente"
"Shipping Method","Método de envío"
"Payment Method","Método de pago"
"No","No"
"Rule Name","Nombre de la regla"
"Name: %s","Nombre: %s"
"New Rule","Nueva regla"
"Shipping Country","País de envío"
"For shipment with matching items","Para envíos con artículos que coinciden"
"To Fixed Amount","Para importe fijo"
"To Percentage","Para porcentaje"
"To Percentage of the original price","Para porcentaje del precio original"
"To Fixed Value","Para valor fijo"
"Discount Qty Step (Buy X)","Paso de cantidad de descuento (compra X)"
"Public In RSS Feed","Público en Feed RSS"
"Total Weight","Peso total"
"By Fixed Amount","Por importe fijo"
"By Percentage","Por porcentaje"
"By Percentage of the original price","Por porcentaje del precio original"
"By Fixed value","Por valor fijo"
"Percent of product price discount","Porcentaje de descuento del precio del producto"
"Price in cart","Precio en el carrito"
"Special price","Precio especial"
"Priority","Prioridad"
"Products subselection","Products subselection"
"Promotions","Promociones"
"Shipping Region","Región de envío"
"Shopping Cart Price Rule","Regla de precios del carrito de compras"
"Shopping Cart Price Rules","Reglas de precios del carrito de compras"
"Yes","Sí"
"For matching items only","Sólo para los artículos que coinciden"
"NOT LOGGED IN","SESIÓN NO INICIADA"
"Subtotal","Subtotal"
"Row total in cart","Total de filas en el carrito"
"Uses per customer","Usos por cliente"
"Uses per coupon","Usos por cupón"
