"Actions","Acties"
"Add Answer","Antwoord toevoegen"
"Add New Answer","Nieuw antwoord toevoegen"
"Add New Poll","Nieuwe poll toevoegen"
"Answer Title","Antwoordtitel"
"Answer Title:","Antwoordtitel:"
"Answer with the same title in this poll","Antwoord met dezelfde titel in deze poll"
"Are you sure you want to delete it?","Weet u zeker dat u het wilt verwijderen?"
"Assigned Answers","Toegewezen antwoorden"
"Closed","Gesloten"
"Community Poll","Poll"
"Date Closed","Datum gesloten"
"Date Posted","Datum geplaatst"
"Delete","Verwijder"
"Delete Answer","Antwoord verwijderen"
"Delete Poll","Poll verwijderen"
"Disallow Voting in a Poll Multiple Times from Same IP-address","Meerdere malen stemmen in een poll vanaf zelfde IP-adres niet toestaan."
"Edit Answer '%s'","Bewerken antwoord ‘%s’"
"Edit Poll '%s'","Bewerken poll ‘%s’"
"Edit Poll Answer","Poll-antwoord bewerken"
"ID","Id"
"Invalid Answer.","Incorrect antwoord"
"New Poll","Nieuwe poll"
"Number of Responses","Aantal reacties"
"Open","Open"
"Poll Answers","Poll-antwoorden"
"Poll Information","Poll-gegevens"
"Poll Manager","Beheer poll"
"Poll Question","Poll vraag"
"Poll information","Poll-informatie"
"Poll with the same question","Poll met dezelfde vraag"
"Polls","Poll"
"Save Answer","Antwoord opslaan"
"Save Poll","Poll opslaan"
"Status","Status"
"The answer has been saved.","Het antwoord is opgeslagen"
"The poll does not exist.","Deze poll bestaat niet (meer)"
"Unable to find an answer to delete.","Het antwoord kan niet gevonden of verwijderd worden"
"Visible In","Zichtbaar in"
"Vote","Stem"
"Votes Count","Aantal stemmen"
"Votes Count:","Aantal stemmen:"
