"Available after subscription only","Beschikbaar op basis van abonnement"
"Host","Hostnaam"
"Mindstretch Track and Trace","Track & Trace"
"Password","Wachtwoord"
"Secured Connection","Beveiligde verbinding"
"Secured connection (SSL) to mail server","Beveiligde SSL verbinding naar uw mailserver"
"The username of your mail account","De gebruikersnaam van uw mailaccount"
"The password of your mail account","Het wachtwoord van uw mailaccount"
"The unique key to be sure you're importing the right mails","De unieke waarde om er zeker van te zijn dat u de juiste e-mails verwerkt"
"Track and Trace","Track & Trace"
"Unique Key","Unieke key"
"Username","Gebruikersnaam"
"Use SMS Gateway","Gebruik SMS notificaties"
"Use Base64 decoding","Zijn uw emails Base64 gecodeerd?"
"Test Mode","Gebruik Test Modus"
"Remove emails from server","Verwijder e-mails van de mailserver na verwerking"
"This usually will be something like pop3.yourdomain.com","Normaal gesproken is dit zoiets als pop3.uwdomeinnaam.nl"
"This is the username of your mail account","Dit is de gebruikersnaam van uw e-mail account"
"This is the password of your mail account","Dit is het wachtwoord van uw e-mail account"
"Secured connection (SSL) to mail server","Beveiligde SSL verbinding"
"This is the Unique Key preventing other emails from beeing imported in your shop","Deze Unieke Key voorkomt dat andere e-mails geimporteerd worden in uw webwinkel"
"If your mail does not get imported, probably it will be encoded using Base64. You can activate decoding option","Als uw mail niet verwerkt wordt, dan is deze zeer waarschijnlijk Bas64 gecodeerd. Hiermee kunt u het decoderen"
"When enabling Test Mode, we will import only one email at a time","Indien Test Modus is aangezet, zullen wij slecht één e-mail per keer importeren"
"After processing the emails, we will remote them from your mailserver","Na het verwerken van de e-mails, zullen deze van de mailserver verwijderd worden"
