"""Remember Me"" Default Value","""Onthoud mij"" Standaardwaarde"
"(Not %s?)","(Niet %s?)"
"* Required Fields","* Verplichte velden"
"Address","Adres"
"Address Information","Adres Informatie"
"Already registered?","Een vorige keer uw gegevens bewaard?"
"Back","Terug"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Door een account aan te maken in deze winkel kunt u het betalingsproces sneller doorlopen, meerdere verzendadressen opslaan, bestellingen bekijken en volgen en meer."
"Cannot load configuration from file %s.","Kan configuratie niet laden uit bestand %s."
"Checking &quot;Remember Me&quot; will let you access your shopping cart on this computer when you are logged out","Vink &quot;Onthoud mij&quot; aan om toegang te houden tot de winkelwagen na uitloggen"
"Checkout as Guest","Afrekenen zonder account"
"Checkout as a Guest or Register","Voor het eerst in deze webshop?"
"City","Plaats"
"Clear Persistence on Log Out","Winkelmand volgen uitschakelen bij uitloggen"
"Close","Sluiten"
"Company","Bedrijfsnaam"
"Confirm Password","Bevestig wachtwoord"
"Continue","Doorgaan"
"Country","Land"
"Create an Account","Account aanmaken"
"Easy access to your order history and status","Extra mogelijkheden: verlanglijst, meerdere afleveradressen, labels, beoordelingen, etc."
"Email Address","E-mailadres"
"Enable ""Remember Me""","Activeer ""Onthoud mij"""
"Enable Persistence","Activeer het volgen van het winkelwagen"
"Fast and easy check out","Snel en eenvoudig afrekenen"
"Faster checkout","Sneller afrekenen"
"Fax","Faxnummer"
"Forgot Your Password?","Uw wachtwoord vergeten?"
"Forgot your password?","Uw wachtwoord vergeten?"
"General Options","Algemene opties"
"If you have an account with us, please log in.","Als u een account bij ons hebt, log dan in a.u.b."
"Loading next step...","Volgende stap wordt geladen..."
"Login","Aanmelden"
"Login Information","Login gegevens"
"Login or Create an Account","Inloggen of een account aanmaken"
"New Customers","Nieuwe klanten"
"Password","Wachtwoord"
"Persist Shopping Cart","Winkelmand volgen"
"Persistence Lifetime (seconds)","Levensduur in seconden"
"Persistent Shopping Cart","Winkelmand volgen"
"Personal Information","Persoonlijke gegevens"
"Please enter the following information to create your account.","Vul de volgende velden om een account aan te maken."
"Please log in below:","U kunt hieronder inloggen met uw e-mailadres en wachtwoord."
"Please select region, state or province","Vul hier je provincie in"
"Register","Bewaar mijn gegevens voor een volgende keer"
"Register and save time!","Voordelen van een account"
"Register to Create an Account","Registreer om een account aan te maken"
"Register with us for future convenience:","Bewaar uw gegevens. Dat werkt sneller en makkelijker."
"Registered Customers","Geregistreerde klanten"
"Registration is free and easy!","Registratie is gratis en makkelijk!"
"Remember Me","Onthoud mij"
"Save in address book","Opslaan in adresboek"
"Save multiple shipping addresses","Opslaan meerdere afleveradressen"
"Select State/Province...","Provincie selecteren"
"Select a billing address from your address book or enter a new address.","Selecteer een factuuradres uit uw adresboek of voer een nieuw adres in."
"Ship to different address","Naar ander adres verzenden"
"Ship to this address","Naar dit adres verzenden"
"Shopping cart has been updated with appropriate prices","Winkelwagen is bijgewerkt met actuele prijzen"
"Sign Up for Newsletter","Abonneer u op onze nieuwsbrief"
"State/Province","Provincie"
"Street Address","Straatnaam"
"Street Address %s","Adresgegevens"
"Submit","Reactie plaatsen"
"Telephone","Telefoon"
"To proceed to Checkout, please log in using your email address.","Om uw bestelling door te voeren, log in met uw email adres."
"VAT Number","BTW-nummer"
"View and track orders and more","Bekijk en volg bestellingen, en meer"
"Welcome, %s!","Welkom, %s!"
"What\'s this?","Wat is dit?"
"Zip/Postal Code","Postcode"
"Required Fields","Verplichte velden"
